fy,lea,district,geo_level,grade_span,placement_at_start,cohort_cnt,no_iep_cnt,no_iep_pct,included_cnt,included_pct,sub_separate_cnt,sub_separate_pct,out_of_district_cnt,out_of_district_pct,unaccounted_cnt,reconciles,doc_id
2021,06160000,Ayer Shirley,district,K-12,Inclusive Setting,151,43,0.285,101,0.669,3,0.02,4,0.026,0,yes,sources/state-dese/dese-sped-placement-trajectory.xlsx
2021,06160000,Ayer Shirley,district,K-12,Substantially Separate Classroom,26,1,0.038,8,0.308,8,0.308,9,0.346,0,yes,sources/state-dese/dese-sped-placement-trajectory.xlsx
2021,06160000,Ayer Shirley,district,K-2,Inclusive Setting,38,8,0.211,28,0.737,2,0.053,0,0.0,0,yes,sources/state-dese/dese-sped-placement-trajectory.xlsx
2021,06160000,Ayer Shirley,district,K-2,Substantially Separate Classroom,2,,,,,,,,,,,sources/state-dese/dese-sped-placement-trajectory.xlsx
2021,06730000,Groton-Dunstable,district,K-12,Inclusive Setting,237,56,0.236,164,0.692,10,0.042,7,0.03,0,yes,sources/state-dese/dese-sped-placement-trajectory.xlsx
2021,06730000,Groton-Dunstable,district,K-12,Substantially Separate Classroom,22,1,0.045,5,0.227,12,0.545,4,0.182,0,yes,sources/state-dese/dese-sped-placement-trajectory.xlsx
2021,06730000,Groton-Dunstable,district,K-2,Inclusive Setting,57,11,0.193,41,0.719,4,0.07,1,0.018,0,yes,sources/state-dese/dese-sped-placement-trajectory.xlsx
2021,06730000,Groton-Dunstable,district,K-2,Substantially Separate Classroom,4,,,,,,,,,,,sources/state-dese/dese-sped-placement-trajectory.xlsx
2021,07350000,North Middlesex,district,K-12,Inclusive Setting,317,44,0.139,244,0.77,20,0.063,9,0.028,0,yes,sources/state-dese/dese-sped-placement-trajectory.xlsx
2021,07350000,North Middlesex,district,K-12,Substantially Separate Classroom,60,1,0.017,16,0.267,37,0.617,6,0.1,0,yes,sources/state-dese/dese-sped-placement-trajectory.xlsx
2021,07350000,North Middlesex,district,K-2,Inclusive Setting,81,11,0.136,61,0.753,6,0.074,3,0.037,0,yes,sources/state-dese/dese-sped-placement-trajectory.xlsx
2021,07350000,North Middlesex,district,K-2,Substantially Separate Classroom,23,1,0.043,2,0.087,18,0.783,2,0.087,0,yes,sources/state-dese/dese-sped-placement-trajectory.xlsx
2022,00000000,State,state,K-12,Inclusive Setting,81842,17225,0.21,58332,0.713,4422,0.054,1701,0.021,162,no,sources/state-dese/dese-sped-placement-trajectory.xlsx
2022,00000000,State,state,K-12,Substantially Separate Classroom,15019,262,0.017,3299,0.22,9870,0.657,1527,0.102,61,no,sources/state-dese/dese-sped-placement-trajectory.xlsx
2022,00000000,State,state,K-2,Inclusive Setting,20286,4967,0.245,13449,0.663,1565,0.077,284,0.014,21,no,sources/state-dese/dese-sped-placement-trajectory.xlsx
2022,00000000,State,state,K-2,Substantially Separate Classroom,3284,62,0.019,711,0.217,2209,0.673,296,0.09,6,no,sources/state-dese/dese-sped-placement-trajectory.xlsx
2022,01250000,Harvard,district,K-12,Inclusive Setting,64,19,0.297,40,0.625,2,0.031,3,0.047,0,yes,sources/state-dese/dese-sped-placement-trajectory.xlsx
2022,01250000,Harvard,district,K-12,Substantially Separate Classroom,2,,,,,,,,,,,sources/state-dese/dese-sped-placement-trajectory.xlsx
2022,01250000,Harvard,district,K-2,Inclusive Setting,15,4,0.267,9,0.6,2,0.133,0,0.0,0,yes,sources/state-dese/dese-sped-placement-trajectory.xlsx
2022,01250000,Harvard,district,K-2,Substantially Separate Classroom,0,,,,,,,,,,,sources/state-dese/dese-sped-placement-trajectory.xlsx
2022,01620000,Lunenburg,district,K-12,Inclusive Setting,136,54,0.397,76,0.559,5,0.037,1,0.007,0,yes,sources/state-dese/dese-sped-placement-trajectory.xlsx
2022,01620000,Lunenburg,district,K-12,Substantially Separate Classroom,21,2,0.095,6,0.286,11,0.524,1,0.048,1,no,sources/state-dese/dese-sped-placement-trajectory.xlsx
2022,01620000,Lunenburg,district,K-2,Inclusive Setting,45,24,0.533,19,0.422,2,0.044,0,0.0,0,yes,sources/state-dese/dese-sped-placement-trajectory.xlsx
2022,01620000,Lunenburg,district,K-2,Substantially Separate Classroom,11,2,0.182,3,0.273,5,0.455,0,0.0,1,no,sources/state-dese/dese-sped-placement-trajectory.xlsx
2022,06100000,Ashburnham-Westminster,district,K-12,Inclusive Setting,243,64,0.263,153,0.63,23,0.095,3,0.012,0,yes,sources/state-dese/dese-sped-placement-trajectory.xlsx
2022,06100000,Ashburnham-Westminster,district,K-12,Substantially Separate Classroom,19,0,0.0,5,0.263,11,0.579,3,0.158,0,yes,sources/state-dese/dese-sped-placement-trajectory.xlsx
2022,06100000,Ashburnham-Westminster,district,K-2,Inclusive Setting,53,24,0.453,28,0.528,1,0.019,0,0.0,0,yes,sources/state-dese/dese-sped-placement-trajectory.xlsx
2022,06100000,Ashburnham-Westminster,district,K-2,Substantially Separate Classroom,2,,,,,,,,,,,sources/state-dese/dese-sped-placement-trajectory.xlsx
2022,06160000,Ayer Shirley,district,K-12,Inclusive Setting,150,36,0.24,106,0.707,3,0.02,5,0.033,0,yes,sources/state-dese/dese-sped-placement-trajectory.xlsx
2022,06160000,Ayer Shirley,district,K-12,Substantially Separate Classroom,27,1,0.037,7,0.259,13,0.481,6,0.222,0,yes,sources/state-dese/dese-sped-placement-trajectory.xlsx
2022,06160000,Ayer Shirley,district,K-2,Inclusive Setting,33,7,0.212,24,0.727,2,0.061,0,0.0,0,yes,sources/state-dese/dese-sped-placement-trajectory.xlsx
2022,06160000,Ayer Shirley,district,K-2,Substantially Separate Classroom,4,,,,,,,,,,,sources/state-dese/dese-sped-placement-trajectory.xlsx
2022,06730000,Groton-Dunstable,district,K-12,Inclusive Setting,229,64,0.279,151,0.659,6,0.026,8,0.035,0,yes,sources/state-dese/dese-sped-placement-trajectory.xlsx
2022,06730000,Groton-Dunstable,district,K-12,Substantially Separate Classroom,25,1,0.04,5,0.2,17,0.68,2,0.08,0,yes,sources/state-dese/dese-sped-placement-trajectory.xlsx
2022,06730000,Groton-Dunstable,district,K-2,Inclusive Setting,56,13,0.232,39,0.696,2,0.036,2,0.036,0,yes,sources/state-dese/dese-sped-placement-trajectory.xlsx
2022,06730000,Groton-Dunstable,district,K-2,Substantially Separate Classroom,7,0,0.0,2,0.286,5,0.714,0,0.0,0,yes,sources/state-dese/dese-sped-placement-trajectory.xlsx
2022,07350000,North Middlesex,district,K-12,Inclusive Setting,339,43,0.127,269,0.794,12,0.035,14,0.041,1,no,sources/state-dese/dese-sped-placement-trajectory.xlsx
2022,07350000,North Middlesex,district,K-12,Substantially Separate Classroom,64,1,0.016,20,0.313,31,0.484,12,0.188,0,yes,sources/state-dese/dese-sped-placement-trajectory.xlsx
2022,07350000,North Middlesex,district,K-2,Inclusive Setting,90,16,0.178,67,0.744,4,0.044,3,0.033,0,yes,sources/state-dese/dese-sped-placement-trajectory.xlsx
2022,07350000,North Middlesex,district,K-2,Substantially Separate Classroom,24,0,0.0,8,0.333,14,0.583,2,0.083,0,yes,sources/state-dese/dese-sped-placement-trajectory.xlsx
2023,00000000,State,state,K-12,Inclusive Setting,82917,16599,0.2,60074,0.725,4241,0.051,1951,0.024,52,no,sources/state-dese/dese-sped-placement-trajectory.xlsx
2023,00000000,State,state,K-12,Substantially Separate Classroom,15202,247,0.016,3254,0.214,9874,0.65,1792,0.118,35,no,sources/state-dese/dese-sped-placement-trajectory.xlsx
2023,00000000,State,state,K-2,Inclusive Setting,20716,4807,0.232,14056,0.679,1475,0.071,371,0.018,7,no,sources/state-dese/dese-sped-placement-trajectory.xlsx
2023,00000000,State,state,K-2,Substantially Separate Classroom,3419,53,0.016,742,0.217,2282,0.667,338,0.099,4,no,sources/state-dese/dese-sped-placement-trajectory.xlsx
2023,01250000,Harvard,district,K-12,Inclusive Setting,63,10,0.159,47,0.746,0,0.0,6,0.095,0,yes,sources/state-dese/dese-sped-placement-trajectory.xlsx
2023,01250000,Harvard,district,K-12,Substantially Separate Classroom,5,,,,,,,,,,,sources/state-dese/dese-sped-placement-trajectory.xlsx
2023,01250000,Harvard,district,K-2,Inclusive Setting,14,3,0.214,10,0.714,0,0.0,1,0.071,0,yes,sources/state-dese/dese-sped-placement-trajectory.xlsx
2023,01250000,Harvard,district,K-2,Substantially Separate Classroom,3,,,,,,,,,,,sources/state-dese/dese-sped-placement-trajectory.xlsx
2023,01620000,Lunenburg,district,K-12,Inclusive Setting,128,43,0.336,76,0.594,7,0.055,1,0.008,1,no,sources/state-dese/dese-sped-placement-trajectory.xlsx
2023,01620000,Lunenburg,district,K-12,Substantially Separate Classroom,22,0,0.0,8,0.364,13,0.591,1,0.045,0,yes,sources/state-dese/dese-sped-placement-trajectory.xlsx
2023,01620000,Lunenburg,district,K-2,Inclusive Setting,53,23,0.434,25,0.472,4,0.075,0,0.0,1,no,sources/state-dese/dese-sped-placement-trajectory.xlsx
2023,01620000,Lunenburg,district,K-2,Substantially Separate Classroom,7,0,0.0,1,0.143,6,0.857,0,0.0,0,yes,sources/state-dese/dese-sped-placement-trajectory.xlsx
2023,06100000,Ashburnham-Westminster,district,K-12,Inclusive Setting,257,76,0.296,161,0.626,16,0.062,4,0.016,0,yes,sources/state-dese/dese-sped-placement-trajectory.xlsx
2023,06100000,Ashburnham-Westminster,district,K-12,Substantially Separate Classroom,17,1,0.059,0,0.0,14,0.824,2,0.118,0,yes,sources/state-dese/dese-sped-placement-trajectory.xlsx
2023,06100000,Ashburnham-Westminster,district,K-2,Inclusive Setting,66,17,0.258,47,0.712,1,0.015,1,0.015,0,yes,sources/state-dese/dese-sped-placement-trajectory.xlsx
2023,06100000,Ashburnham-Westminster,district,K-2,Substantially Separate Classroom,2,,,,,,,,,,,sources/state-dese/dese-sped-placement-trajectory.xlsx
