fy,department,person,title,page,as_printed
2023,,Susan Doherty,Director,63,Respectfully Submitted
2023,,Thomas R. Browne,Superintendent-Director,141,"Respectfully submitted,"
2023,,Tim Santry,Principal,133,"Respectfully Submitted, Tim Santry, Principal"
2023,Ad Hoc Open Space Advisory Committee,Michael Toohill,Chair,112,"Respectfully submitted,"
2023,"Board of Assessors Treasurer/Collector Treasurer's Cash as of June 30, 2",Heather R. Lemieux,Town Manager,23,"Respectfully submitted,"
2024,Ad Hoc Open Space Advisory Committee to the Planning Board,Michael Toohill,Chair,91,"Respectfully submitted,"
2024,Board of Assessors,Brian Laffond,"Chair Sarah Cammer, Vice-Chair John Rabbitt, Clerk",32,"Respectfully submitted,"
2024,Conservation Commission,Jenny Pewtherer,Chair,45,"Respectfully Submitted,"
2024,Council on Aging,Debra Goodsell,Director,47,Respectfully Submitted
2024,Lunenburg High School,Tim Santry,Principal,113,"Respectfully Submitted,"
2024,Lunenburg Middle School,Tim Santry,Principal,110,"Respectfully Submitted,"
2024,Lunenburg Primary School,Carla Squier,Principal,103,"Respectfully submitted,"
2024,Lunenburg Public Library,Muir Haman,"Director, Lunenburg Public Library",59,"Respectfully submitted,"
2024,Lunenburg School Food Service,Nadine Lorenzen,Food Service Director,101,"Respectfully Submitted,"
2024,Montachusett Regional Vocational Technical School District,THOMAS R. BROWNE,"SUPERINTENDENT- DIRECTOR JANUARY 31, 2025",136,RESPECTFULLY SUBMITTED BY:
2024,Report of the Town Manager,Jennifer Warren-Dyment,,20,"Respectfully submitted,"
2024,School Facilities,Information Technology,,96,"Respectfully submitted,"
2024,School Facilities,Susan Gilson,Director of Administration and Finance,96,"Respectfully submitted,"
2024,Special Services Department,Julianna Hanscom,Director of Special Services,98,"Respectfully Submitted,"
2024,Superintendent's Message,Kate Burnham,"nham, Superintendent",94,"Respectfully submitted,"
2024,Teaching & Learning Models and PD Update,Deborah Bookis,Director of Teaching & Learning,100,"Respectfully Submitted,"
2024,Town Meeting Excerpts,A. PURPOSE OF DISTRICT,,157,below; or take any other action relative thereto. (Submitted by the Planning Board)
2024,Turkey Hill Elementary School,Norman P. Yvon,Principal,106,"Respectfully submitted,"
2025,Committee Submitted Zoning Board of Appeals,Michael Toohill,Chair,86,"Respectfully submitted,"
2025,Conservation Commission,Debra Goodsell,Director,48,"Respectfully Submitted,"
2025,Conservation Commission,Jenny Pewtherer,Chair,47,"Respectfully Submitted,"
2025,Housing Authority Submitted Lunenburg Public Library,Muir Haman,Library Director,60,"Respectfully submitted,"
2025,Lunenburg Primary School,Carla Squier,Principal,100,"Respectfully submitted,"
2025,Montachusett Regional Vocational,Thomas R. Browne,Superintendent-Director,113,"Respectfully submitted,"
2025,PD Update Lunenburg School Food Service,Nadine Lorenzen,Food Service Director,98,"Respectfully Submitted,"
2025,Report of the Town Manager,Jennifer Warren-Dyment,Town Manager,24,"Respectfully submitted,"
2025,Review Special Services Department,Julianna Hanscom,Director of Special Services,94,"Respectfully Submitted,"
2025,School Facilities,Christopher Stevens,Director of Facilities,91,"Respectfully Submitted,"
2025,School Facilities,Information Technology Team,,91,"Respectfully Submitted,"
2025,Superintendent's Message,Jodi Fortuna,"tuna, Superintendent",89,"Respectfully submitted,"
2025,Teaching & Learning Models and,Kimberly Sarfde,"rfde, Director of Teaching & Learning",97,"Respectfully Submitted,"
2025,Town Meeting Excerpts,Administration Plan,""" as follows: that the position of ""Conservation Agent"" be added and a",161,(Submitted by the Assistant Town Manager/Human Resources Director)
2025,Town Meeting Excerpts,Project Sum,,152,(Submitted by the Town Manager)
2025,Turkey Hill Elementary School,Norman P. Yvon,Principal,102,"Respectfully submitted,"
