fy,section,department,printed_from,printed_to,pdf_from,pdf_to,state,as_printed
2014,Town Services,Agricultural Commission,,,,,no report submitted,Agricultural Commission - no report
2014,Town Services,Building Department,47,47,47,47,report,Building Department 47
2014,Town Services,Cemetery Commission,48,48,48,48,report,Cemetery Commission 48
2014,Town Services,Conservation Commission,,,,,no report submitted,Conservation Commission - no report
2014,Town Services,Council on Aging,49,50,49,50,report,Council on Aging 49
2014,Town Services,Cultural Council,,,,,no report submitted,Cultural Council - no report
2014,Town Services,Department of Public Works,51,55,51,55,report,Department of Public Works 51
2014,Town Services,Green Community Task Force,56,56,56,56,report,Green Community Task Force 56
2014,Town Services,Historical Commission,56,56,56,56,report,Historical Commission 56
2014,Town Services,Public Library,57,58,57,58,report,Public Library 57
2014,Town Services,Sewer Commission,59,66,59,66,report,Sewer Commission 59
2014,Town Services,Technology 62 Veterans Agent,,,,,no report submitted,Technology 62 Veterans Agent- no report
2014,Protection Of Persons & Property,Board of Health,67,67,67,67,report,Board of Health 67
2014,Protection Of Persons & Property,Nashoba Associated Boards of Health,68,73,68,73,report,Nashoba Associated Boards of Health 68
2014,Protection Of Persons & Property,Fire Department,74,84,74,84,report,Fire Department 74
2014,Planning,Capital Planning,85,85,85,85,report,Capital Planning 85
2014,Planning,Planning Board,86,87,86,87,report,Planning Board 86
2014,Planning,Zoning Board of Appeals,88,90,88,90,report,Zoning Board of Appeals 88
2014,Education,Lunenburg Public Schools,91,91,91,91,report,Lunenburg Public Schools 91
2014,Education,Superintendent Message,92,94,92,94,report,Superintendent Message 92
2014,Education,School Facilities,95,95,95,95,report,School Facilities 95
2014,Education,Special Services,96,98,96,98,report,Special Services 96
2014,Education,Primary School,99,102,99,102,report,Primary School 99
2014,Education,Middle School,103,105,103,105,report,Middle School 103
2014,Education,High School,106,110,106,110,report,High School 106
2014,Education,Montachusett Regional Vocational Technical School,111,112,111,112,report,Montachusett Regional Vocational Technical School 111
2014,Education,Superintendent Message,113,132,113,132,report,Superintendent Message 113
2014,Town Clerk,"Special Town Meeting January 7, 2014",133,134,133,134,report,"Special Town Meeting January 7, 2014 133"
2014,Town Clerk,"Annual Town Meeting May 3, 2014",135,138,135,138,report,"Annual Town Meeting May 3, 2014 135"
2014,Town Clerk,Omnibus Budget FY2015,139,151,139,151,report,Omnibus Budget FY2015 139
2014,Town Clerk,"Special Town Election January 11, 2014",152,152,152,152,report,"Special Town Election January 11, 2014 152"
2014,Town Clerk,"Annual Town Election May 17, 2014",153,154,153,154,report,"Annual Town Election May 17, 2014 153"
2014,Town Clerk,"State Primary Election September 9, 2014",155,158,155,158,report,"State Primary Election September 9, 2014 155"
2014,Town Clerk,"State Election November 4, 2014",159,166,159,166,report,"State Election November 4, 2014 159"
2014,Miscellaneous Information,Meeting Schedule,167,167,167,167,report,Meeting Schedule 167
2014,Miscellaneous Information,Town/School Employee Compensation,168,168,168,168,report,Town/School Employee Compensation 168
2015,Table Of Contents,"Lunenburg Profile 6,",7,7,7,7,report,"Lunenburg Profile 6,7"
2015,Table Of Contents,Elected Officials- State & Local,8,10,8,10,report,Elected Officials- State & Local 8-10
2015,Table Of Contents,Appointed Officials,11,15,11,15,report,Appointed Officials 11-15
2015,Administration,Town Manager Report- Kerry A. Lafleur,19,19,19,19,report,Town Manager Report- Kerry A. Lafleur 19
2015,Accountant,Balance Sheet,20,20,20,20,report,Balance Sheet 20
2015,Accountant,General Funds Revenue Chart,21,22,21,22,report,General Funds Revenue Chart 21
2015,Accountant,FY 2016 Receipts 22 General Funds Revenue Chart,23,23,23,23,report,FY 2016 Receipts 22 General Funds Revenue Chart 23
2015,Accountant,General Fund Appropriations Summary & Classification of Accounts,24,28,24,28,report,General Fund Appropriations Summary & Classification of Accounts 24-28
