fy,section,department,printed_from,printed_to,pdf_from,pdf_to,state,as_printed
2025,Administration,Special Revenue Fund Balance Detail,22,25,26,29,report,Special Revenue Fund Balance Detail Pages 22-25
2025,Administration,Capital Project Fund,26,26,30,30,report,Capital Project Fund Page 26
2025,Administration,Trust Fund Balance Detail,26,27,30,31,report,Trust Fund Balance Detail Pages 26-27
2025,Administration,Undesignated Fund Balance Roll-forward,27,29,31,33,report,Undesignated Fund Balance Roll-forward Pages 27-29
2025,Administration,Board of Assessors,29,30,33,34,report,Board of Assessors Pages 29-30
2025,Administration,"Treasurer/Collector Treasurer's Cash as of June 30, 2024",31,31,35,35,report,"Treasurer/Collector Treasurer's Cash as of June 30, 2024 Page 31"
2025,Administration,Trust Funds,32,32,36,36,report,Trust Funds Page 32
2025,Administration,Trust and Stabilization Funds Held by Other Banks,33,33,37,37,report,Trust and Stabilization Funds Held by Other Banks Page 33
2025,Administration,Five Years Outstanding Debt,33,34,37,38,report,Five Years Outstanding Debt Pages 33-34
2025,Administration,Debt Repayment Schedule,35,35,39,39,report,Debt Repayment Schedule Page 35
2025,Administration,Collection of Taxes Receivables Summary,36,37,40,41,report,Collection of Taxes Receivables Summary Pages 36-37
2025,Town Services,Building Department,39,40,43,44,report,Building Department Pages 39-40
2025,Town Services,Cemetery Commission,40,42,44,46,report,Cemetery Commission Pages 40-42
2025,Town Services,Conservation Commission,43,44,47,48,report,Conservation Commission Pages 44-43
2025,Town Services,Council on Aging,43,44,47,48,report,Council on Aging Pages 43-44
2025,Town Services,Cultural Council,,,,,no report submitted,Cultural Council No Report
2025,Town Services,Department of Public Works,44,48,48,52,report,Submitted Department of Public Works Pages 44-48
2025,Town Services,Finance Committee,48,51,52,55,report,Finance Committee Pages 48-51
2025,Town Services,Green Communities Committee,,,,,no report submitted,Green Communities Committee No Report
2025,Town Services,Historical Commission,,,,,no report submitted,Submitted Historical Commission No Report
2025,Town Services,Submitted,,,,,no report submitted,Submitted No Report
2025,Town Services,Housing Authority Submitted Lunenburg Public Library,51,56,55,60,report,Housing Authority Submitted Lunenburg Public Library Pages 51-56
2025,Town Services,Lunenburg Public Access,56,62,60,66,report,Lunenburg Public Access Pages 56-62
2025,Town Services,Senior Property Tax Work-Off,62,63,66,67,report,Senior Property Tax Work-Off Pages 62-63
2025,Town Services,Program Sewer Commission,63,64,67,68,report,Program Sewer Commission Pages 63-64
2025,Town Services,Veterans' Services,64,65,68,69,report,Veterans' Services Pages 64-65
2025,Protection Of Persons & Property,Board of Health,67,67,71,71,report,Board of Health Page 67
2025,Protection Of Persons & Property,Nashoba Associated Boards of Health,67,71,71,75,report,Nashoba Associated Boards of Health Pages 67-71
2025,Protection Of Persons & Property,Fire Department,71,74,75,78,report,Fire Department Pages 71-74
2025,Protection Of Persons & Property,Police Department,75,78,79,82,report,Police Department Pages 75-78
2025,Planning,Capital Planning Report,,,,,no report submitted,Capital Planning Report No Report
2025,Planning,Planning Board,80,81,84,85,report,Submitted Planning Board Pages 80-81
2025,Planning,Master Planning Steering,,,,,no report submitted,Master Planning Steering No Report
2025,Planning,Committee Submitted Zoning Board of Appeals,81,82,85,86,report,Committee Submitted Zoning Board of Appeals Pages 81-82
2025,Planning,Ad Hoc Open Space Advisory,82,83,86,87,report,Ad Hoc Open Space Advisory Page 82
2025,Education,Superintendent's Message,84,85,88,89,report,Superintendent's Message Pages 84-85
2025,Education,School Facilities,86,87,90,91,report,School Facilities Pages 86-87
2025,Education,Lunenburg Public Schools IT,87,87,91,91,report,Lunenburg Public Schools IT Page 87
2025,Education,Review Special Services Department,88,90,92,94,report,Review Special Services Department Pages 88-90
2025,Education,Teaching & Learning Models and,90,93,94,97,report,Teaching & Learning Models and Pages 90-93
2025,Education,PD Update Lunenburg School Food Service,93,94,97,98,report,PD Update Lunenburg School Food Service Pages 93-94
2025,Education,Lunenburg Primary School,94,97,98,101,report,Lunenburg Primary School Pages 94-97
2025,Education,Turkey Hill Elementary School,97,99,101,103,report,Turkey Hill Elementary School Pages 97-99
2025,Education,Lunenburg Middle School,99,102,103,106,report,Lunenburg Middle School Pages 99-102
2025,Education,Lunenburg High School,103,106,107,110,report,Lunenburg High School Pages 103-106
2025,Education,Montachusett Regional Vocational,107,130,111,134,report,Montachusett Regional Vocational Pages 107-130
2025,Town Clerk,Vitals Report,132,132,136,136,report,Vitals Report Page 132
2025,Town Clerk,Town Meeting Excerpts,132,169,136,173,report,Town Meeting Excerpts Page 132-169
2025,Town Clerk,Annual Town Election Results,169,171,173,175,report,Annual Town Election Results 169-171
2025,Miscellaneous Information,2025 Gross Wages,173,178,177,182,report,2025 Gross Wages Pages 173-178
2025,Miscellaneous Information,Town Offices Hours,179,179,183,183,report,Town Offices Hours Page 179
2025,Miscellaneous Information,Trust Fund Commission,180,181,184,185,report,Trust Fund Commission Pages 180-181
