fy,lea,district,geo_level,grades,grades_level,student_group,student_group_level,indicator_category,indicator,printing,denominator_cnt,measure_cnt,measure_pct,value_type,doc_id
2021,01620000,Lunenburg,district,Grades 3-8,subset,Students without Disabilities,detail,ASSESSMENTS (Next Gen MCAS),Meeting or exceeding expectations on Science (Grades 5 and 8),1,196,117,60.0,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,01620000,Lunenburg,district,K-12,all,All Students,all,ASSESSMENTS (AP and SAT),Jr / Sr AP test takers scoring 3 or above,1,85,68,80.0,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,01620000,Lunenburg,district,K-12,all,All Students,all,ASSESSMENTS (AP and SAT),Jr / Sr enrolled in one or more AP / IB courses,1,237,106,45.0,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,01620000,Lunenburg,district,K-12,all,All Students,all,ASSESSMENTS (AP and SAT),Jr / Sr who took AP courses and participated in one or more AP tests,1,106,85,80.0,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,01620000,Lunenburg,district,K-12,all,All Students,all,ASSESSMENTS (AP and SAT),SAT average score - Mathematics,1,53,,581.0,Average,sources/state-dese/dese-sped-indicators.xlsx
2021,01620000,Lunenburg,district,K-12,all,All Students,all,ASSESSMENTS (AP and SAT),SAT average score - Reading,1,53,,573.0,Average,sources/state-dese/dese-sped-indicators.xlsx
2021,01620000,Lunenburg,district,K-12,all,All Students,all,CONTEXT,Stability rate (enrolled all year),1,1603,1508,94.1,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,01620000,Lunenburg,district,K-12,all,All Students,all,CONTEXT,Student Enrollment,1,1605,1605,100.0,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,01620000,Lunenburg,district,K-12,all,All Students,all,POSTSECONDARY OUTCOMES,College students persistently enrolled in postsecondary education for the first two years,1,80,68,85.0,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,01620000,Lunenburg,district,K-12,all,All Students,all,POSTSECONDARY OUTCOMES,High school graduates enrolled in 2-year postsecondary education,1,108,12,11.1,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,01620000,Lunenburg,district,K-12,all,All Students,all,POSTSECONDARY OUTCOMES,High school graduates enrolled in 4-year postsecondary education,1,108,68,63.0,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,01620000,Lunenburg,district,K-12,all,All Students,all,POSTSECONDARY OUTCOMES,Students enrolled in postsecondary education in the immediate fall after high school graduation,1,108,80,74.1,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,01620000,Lunenburg,district,K-12,all,All Students,all,PROGRAM OF STUDY,12th graders passing a full year of mathematics coursework,1,112,108,96.4,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,01620000,Lunenburg,district,K-12,all,All Students,all,PROGRAM OF STUDY,12th graders passing a full year of science and technology/engineering coursework,1,112,75,67.0,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,01620000,Lunenburg,district,K-12,all,All Students,all,PROGRAM OF STUDY,9th graders completing and passing all courses,1,120,104,86.7,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,01620000,Lunenburg,district,K-12,all,All Students,all,PROGRAM OF STUDY,High school graduates who completed MassCore,1,108,108,100.0,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,01620000,Lunenburg,district,K-12,all,All Students,all,STUDENT OUTCOMES,4-year cohort graduation rate,1,114,,94.7,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,01620000,Lunenburg,district,K-12,all,All Students,all,STUDENT OUTCOMES,5-year cohort graduation rate,1,114,,95.6,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,01620000,Lunenburg,district,K-12,all,All Students,all,STUDENT OUTCOMES,9th to 10th grade promotion rate (first-time 9th graders only),1,122,115,94.3,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,01620000,Lunenburg,district,K-12,all,All Students,all,STUDENT OUTCOMES,Annual dropout rate,1,474,0,0.0,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,01620000,Lunenburg,district,K-12,all,All Students,all,STUDENT OUTCOMES,Chronically absent rate (% of students absent 10% or more each year),1,1632,213,13.1,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,01620000,Lunenburg,district,K-12,all,All Students,all,STUDENT OUTCOMES,Student attendance rate,1,1632,,95.3,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2021,01620000,Lunenburg,district,K-12,all,All Students,all,STUDENT OUTCOMES,Students absent 10 or more days each year,1,1632,423,25.9,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
