season,scope,metric,fy,printed,printed_cell,printed_raw,summed_from_rows,difference,ties
Spring,HS,2nd Sibling,2025,16.0,I18,16,16.0,0.0,1
Spring,HS,3rd sibling,2024,4.0,K18,4,4.0,0.0,1
Spring,HS,3rd sibling,2025,3.0,L18,3,3.0,0.0,1
Spring,HS,Assignor,2025,757.8299999999999,AK18,757.8299999999999,757.83,0.0,1
Spring,HS,Coaches,2024,40777.0,AP18,40777,40777.0,0.0,1
Spring,HS,Costs for all 3 Seasons,2024,,AY18,,0,0,1
Spring,HS,Costs for all 3 Seasons,2025,,AZ18,,0,0,1
Spring,HS,Due,2024,282.5,Z18,282.5,282.5,0.0,1
Spring,HS,Due,2025,4500.0,AA18,4500,4500.0,0.0,1
Spring,HS,Dues & Fees,2024,1458.5,BB18,1458.5,1458.5,0.0,1
Spring,HS,Dues & Fees,2025,1440.0,BC18,1440,1440.0,0.0,1
Spring,HS,Equipment,2024,3378.8399999999997,BH18,3378.8399999999997,3378.84,0.0,1
Spring,HS,Equipment,2025,1769.0,BI18,1769,1769.0,0.0,1
Spring,HS,Expected Fees Received,2024,37855.0,W18,37855,37855.0,0.0,1
Spring,HS,Expected Fees Received,2025,33230.0,X18,33230,33230.0,0.0,1
Spring,HS,Full Pay,2024,139.0,E18,139,139.0,0.0,1
Spring,HS,Full Pay,2025,141.0,F18,141,141.0,0.0,1
Spring,HS,Full Waiver,2024,15.0,N18,15,15.0,0.0,1
Spring,HS,Full Waiver,2025,17.0,O18,17,17.0,0.0,1
Spring,HS,HS Red Fee,2024,7.0,Q18,7,6.0,1.0,0
Spring,HS,HS Red Fee,2025,2.0,R18,2,2.0,0.0,1
Spring,HS,MS Red Fee,2024,0.0,T18,0,0,0,1
Spring,HS,MS Red Fee,2025,0.0,U18,0,0,0,1
Spring,HS,Official,2024,11766.5,AG18,11766.5,11766.5,0.0,1
Spring,HS,Official,2025,11383.5,AH18,11383.5,11383.5,0.0,1
Spring,HS,Police/ EMS,2024,0.0,AM18,0,0,0,1
Spring,HS,Police/ EMS,2025,0.0,AN18,0,0,0,1
Spring,HS,Total Athletes,2024,203.0,B18,203,203.0,0.0,1
Spring,HS,Total Athletes,2025,179.0,C18,179,179.0,0.0,1
Spring,HS,Total Athletes,2026,,D18,,164.0,-164.0,0
Spring,HS,Total Expenses,2024,95653.20000000001,BN18,95653.20000000001,95653.2,0.0,1
Spring,HS,Total Expenses,2025,,BO18,,31206.27,-31206.27,0
Spring,HS,Total Fees Received,2024,37572.5,AC18,37572.5,37572.5,0.0,1
Spring,HS,Total Fees Received,2025,28730.0,AD18,28730,28730.0,0.0,1
Spring,HS,Transportation,2024,30046.0,AS18,30046,30046.0,0.0,1
Spring,HS,Transportation,2025,,AT18,,14995.0,-14995.0,0
Spring,HS,Uniforms,2024,8226.36,BE18,8226.36,8226.36,0.0,1
Spring,HS,Uniforms,2025,860.94,BF18,860.94,860.94,0.0,1
Spring,MS,2nd Sibling,2024,1.0,H23,1,1.0,0.0,1
Spring,MS,2nd Sibling,2025,4.0,I23,4,3.0,1.0,0
Spring,MS,3rd sibling,2024,1.0,K23,1,1.0,0.0,1
Spring,MS,3rd sibling,2025,0.0,L23,0,0,0,1
Spring,MS,Assignor,2025,186.67000000000002,AK23,186.67000000000002,186.67,0.0,1
Spring,MS,Coaches,2024,3024.0,AP23,3024,3024.0,0.0,1
Spring,MS,Due,2024,0.0,Z23,0,0,0,1
Spring,MS,Due,2025,400.0,AA23,400,400.0,0.0,1
Spring,MS,Dues & Fees,2025,195.0,BC23,195,0,195.0,0
Spring,MS,Expected Fees Received,2024,5725.0,W23,5725,5725.0,0.0,1
Spring,MS,Expected Fees Received,2025,9612.0,X23,9612,9612.0,0.0,1
Spring,MS,Full Pay,2024,27.0,E23,27,27.0,0.0,1
Spring,MS,Full Pay,2025,45.0,F23,45,45.0,0.0,1
Spring,MS,Full Waiver,2024,3.0,N23,3,3.0,0.0,1
Spring,MS,Full Waiver,2025,5.0,O23,5,5.0,0.0,1
Spring,MS,HS Red Fee,2024,1.0,Q23,1,0,1.0,0
Spring,MS,HS Red Fee,2025,0.0,R23,0,0,0,1
Spring,MS,MS Red Fee,2025,2.0,U23,2,2.0,0.0,1
Spring,MS,Official,2025,632.0,AH23,632,632.0,0.0,1
Spring,MS,Total Athletes,2024,33.0,B23,33,33.0,0.0,1
Spring,MS,Total Athletes,2025,56.0,C23,56,56.0,0.0,1
Spring,MS,Total Athletes,2026,,D23,,46.0,-46.0,0
Spring,MS,Total Expenses,2024,6813.5,BN23,6813.5,6813.5,0.0,1
Spring,MS,Total Expenses,2025,4066.17,BO23,4066.17,4066.17,0.0,1
Spring,MS,Total Fees Received,2024,5725.0,AC23,5725,5725.0,0.0,1
Spring,MS,Total Fees Received,2025,9212.0,AD23,9212,9212.0,0.0,1
Spring,MS,Transportation,2024,3789.5,AS23,3789.5,3789.5,0.0,1
Spring,MS,Transportation,2025,,AT23,,3247.5,-3247.5,0
