fy,lea,district,race_ethnicity,race_level,job_class,educators_headcount,educators_pct,hires_headcount,hires_pct,retained_headcount,retained_pct,reconciles,doc_id
2022,01250000,Harvard,Amer. Ind. or Alaska Nat.,detail,Teacher,0,0,0,0,,,yes,sources/state-dese/dese-educators-retention.xlsx
2022,01250000,Harvard,Asian,detail,Administrator,0,0,,,,,yes,sources/state-dese/dese-educators-retention.xlsx
2022,01250000,Harvard,Asian,detail,Other - Licensed,0,0,,,,,yes,sources/state-dese/dese-educators-retention.xlsx
2022,01250000,Harvard,Asian,detail,Other - Non-Licensed,0,0,,,,,yes,sources/state-dese/dese-educators-retention.xlsx
2022,01250000,Harvard,Asian,detail,Paraprofessional,3,0.094,,,,,yes,sources/state-dese/dese-educators-retention.xlsx
2022,01250000,Harvard,Asian,detail,Teacher,2,0.022,1,0.125,,,yes,sources/state-dese/dese-educators-retention.xlsx
2022,01250000,Harvard,Hispanic/Latino,detail,Administrator,0,0,,,,,yes,sources/state-dese/dese-educators-retention.xlsx
2022,01250000,Harvard,Hispanic/Latino,detail,Other - Licensed,0,0,,,,,yes,sources/state-dese/dese-educators-retention.xlsx
2022,01250000,Harvard,Hispanic/Latino,detail,Other - Non-Licensed,0,0,,,,,yes,sources/state-dese/dese-educators-retention.xlsx
2022,01250000,Harvard,Hispanic/Latino,detail,Paraprofessional,0,0,,,,,yes,sources/state-dese/dese-educators-retention.xlsx
2022,01250000,Harvard,Hispanic/Latino,detail,Teacher,2,0.022,0,0,,,yes,sources/state-dese/dese-educators-retention.xlsx
2022,01250000,Harvard,"Multi-race, Non-Hisp./Lat.",detail,Administrator,0,0,,,,,yes,sources/state-dese/dese-educators-retention.xlsx
2022,01250000,Harvard,"Multi-race, Non-Hisp./Lat.",detail,Other - Licensed,0,0,,,,,yes,sources/state-dese/dese-educators-retention.xlsx
2022,01250000,Harvard,"Multi-race, Non-Hisp./Lat.",detail,Other - Non-Licensed,0,0,,,,,yes,sources/state-dese/dese-educators-retention.xlsx
2022,01250000,Harvard,"Multi-race, Non-Hisp./Lat.",detail,Paraprofessional,0,0,,,,,yes,sources/state-dese/dese-educators-retention.xlsx
2022,01250000,Harvard,"Multi-race, Non-Hisp./Lat.",detail,Teacher,0,0,0,0,,,yes,sources/state-dese/dese-educators-retention.xlsx
