id,kind,subkind,code,name,owner,owner_basis,relates_to,purpose,authority,trend_label,report
rev-432000,revenue,fee or permit,432000,JONES HSE,treasurer-collector,receipted by the Treasurer/Collector; no department raises it,,,,,sources/town-ledgers/revenue/glytdbud-revenue-fy2026-p09-gf-all.txt
rev-432100,revenue,fee or permit,432100,SUB DIV RE,planning-board,"the department that raises it, by the account name",,,,,sources/town-ledgers/revenue/glytdbud-revenue-fy2026-p09-gf-all.txt
rev-432200,revenue,fee or permit,432200,ZON BYLAWS,treasurer-collector,receipted by the Treasurer/Collector; no department raises it,,,,,sources/town-ledgers/revenue/glytdbud-revenue-fy2026-p09-gf-all.txt
rev-432300,revenue,fee or permit,432300,SUBD FILIN,planning-board,"the department that raises it, by the account name",,,,,sources/town-ledgers/revenue/glytdbud-revenue-fy2026-p09-gf-all.txt
rev-432400,revenue,fee or permit,432400,FORM A FIL,planning-board,"the department that raises it, by the account name",,,,,sources/town-ledgers/revenue/glytdbud-revenue-fy2026-p09-gf-all.txt
rev-432500,revenue,fee or permit,432500,ZONE MAPS,planning-board,"the department that raises it, by the account name",,,,,sources/town-ledgers/revenue/glytdbud-revenue-fy2026-p09-gf-all.txt
rev-432600,revenue,fee or permit,432600,PB SPE PER,planning-board,"the department that raises it, by the account name",,,,,sources/town-ledgers/revenue/glytdbud-revenue-fy2026-p09-gf-all.txt
rev-432700,revenue,fee or permit,432700,PB FEE&CHG,planning-board,"the department that raises it, by the account name",,,,,sources/town-ledgers/revenue/glytdbud-revenue-fy2026-p09-gf-all.txt
rev-432800,revenue,fee or permit,432800,ZN BD FILE,zoning-board-of-appeals,"the department that raises it, by the account name",,,,,sources/town-ledgers/revenue/glytdbud-revenue-fy2026-p09-gf-all.txt
rev-432900,revenue,fee or permit,432900,WTLNDS FEE,conservation-commission,"the department that raises it, by the account name",,,,,sources/town-ledgers/revenue/glytdbud-revenue-fy2026-p09-gf-all.txt
rev-433000,revenue,fee or permit,433000,WTLDS ADV,conservation-commission,"the department that raises it, by the account name",,,,,sources/town-ledgers/revenue/glytdbud-revenue-fy2026-p09-gf-all.txt
rev-433100,revenue,fee or permit,433100,WTLD BYLAW,conservation-commission,"the department that raises it, by the account name",,,,,sources/town-ledgers/revenue/glytdbud-revenue-fy2026-p09-gf-all.txt
rev-433300,revenue,fee or permit,433300,BURIALS,cemetery-commission,"the department that raises it, by the account name",,,,,sources/town-ledgers/revenue/glytdbud-revenue-fy2026-p09-gf-all.txt
rev-433600,revenue,fee or permit,433600,GEN BYLAWS,treasurer-collector,receipted by the Treasurer/Collector; no department raises it,,,,,sources/town-ledgers/revenue/glytdbud-revenue-fy2026-p09-gf-all.txt
rev-433700,revenue,fee or permit,433700,PO REIMBRS,treasurer-collector,receipted by the Treasurer/Collector; no department raises it,,,,,sources/town-ledgers/revenue/glytdbud-revenue-fy2026-p09-gf-all.txt
