fy,side,item,amount,basis,source
2017,general,Athletic Equipment/Reconditioning,157,actual,district-budget/docs/fy19-proposed-athletics-budget.pdf
2017,general,Athletic Insurance,5990,actual,district-budget/docs/fy19-proposed-athletics-budget.pdf
2017,general,Athletic New Equipment,5151,actual,district-budget/docs/fy19-proposed-athletics-budget.pdf
2017,general,Athletic Officials,38059,actual,district-budget/docs/fy19-proposed-athletics-budget.pdf
2017,general,Athletic Replacement of Uniforms,7944,actual,district-budget/docs/fy19-proposed-athletics-budget.pdf
2017,general,Athletic Transportation,23000,actual,district-budget/docs/fy19-proposed-athletics-budget.pdf
2017,general,Special Detail/Athletic Events,1592,actual,district-budget/docs/fy19-proposed-athletics-budget.pdf
2017,revolving,Athletic Coaches,34815,actual,district-budget/docs/fy19-proposed-athletics-budget.pdf
2017,revolving,Athletic Expenses/Supplies,37156,actual,district-budget/docs/fy19-proposed-athletics-budget.pdf
2017,revolving,Athletic Secretary,8594,actual,district-budget/docs/fy19-proposed-athletics-budget.pdf
2017,revolving,Athletic Transportation,50986,actual,district-budget/docs/fy19-proposed-athletics-budget.pdf
2017,revolving,REVENUE — Fees,95360,actual,district-budget/docs/fy19-proposed-athletics-budget.pdf
2017,revolving,REVENUE — Gate receipts,13191,actual,district-budget/docs/fy19-proposed-athletics-budget.pdf
2017,revolving,Track and Field Payment,25000,actual,district-budget/docs/fy19-proposed-athletics-budget.pdf
2018,general,Athletic Coaches,163146,budget,district-budget/docs/fy19-proposed-athletics-budget.pdf
2018,general,Athletic Director,48000,budget,district-budget/docs/fy19-proposed-athletics-budget.pdf
2018,general,Athletic Dues & Fees,12499,budget,district-budget/docs/fy19-proposed-athletics-budget.pdf
2018,general,Athletic Equipment/Reconditioning,4500,budget,district-budget/docs/fy19-proposed-athletics-budget.pdf
2018,general,Athletic Insurance,5990,budget,district-budget/docs/fy19-proposed-athletics-budget.pdf
2018,general,Athletic New Equipment,5850,budget,district-budget/docs/fy19-proposed-athletics-budget.pdf
2018,general,Athletic Officials,39221,budget,district-budget/docs/fy19-proposed-athletics-budget.pdf
2018,general,Athletic Replacement of Uniforms,7872,budget,district-budget/docs/fy19-proposed-athletics-budget.pdf
2018,general,Athletic Transportation,33500,budget,district-budget/docs/fy19-proposed-athletics-budget.pdf
2018,general,Special Detail/Athletic Events,5900,budget,district-budget/docs/fy19-proposed-athletics-budget.pdf
2018,revolving,Athletic Expenses/Supplies,27114,budget,district-budget/docs/fy19-proposed-athletics-budget.pdf
2018,revolving,Athletic New Equipment,3000,budget,district-budget/docs/fy19-proposed-athletics-budget.pdf
2018,revolving,Athletic Secretary,5437,budget,district-budget/docs/fy19-proposed-athletics-budget.pdf
2018,revolving,Athletic Transportation,27450,budget,district-budget/docs/fy19-proposed-athletics-budget.pdf
2018,revolving,REVENUE — Fees,90000,budget,district-budget/docs/fy19-proposed-athletics-budget.pdf
2018,revolving,REVENUE — Gate receipts,18000,budget,district-budget/docs/fy19-proposed-athletics-budget.pdf
2018,revolving,Track and Field Payment,40000,budget,district-budget/docs/fy19-proposed-athletics-budget.pdf
2019,general,Athletic Coaches,150636,budget,district-budget/docs/fy19-proposed-athletics-budget.pdf
2019,general,Athletic Director,49440,budget,district-budget/docs/fy19-proposed-athletics-budget.pdf
2019,general,Athletic Dues & Fees,12529,budget,district-budget/docs/fy19-proposed-athletics-budget.pdf
2019,general,Athletic Equipment/Reconditioning,4500,budget,district-budget/docs/fy19-proposed-athletics-budget.pdf
