fy,edition,page,group,fund,forward,receipts,disbursements,carried,row_ties,document,read_by
2022,FY2022,36,UNCLASSIFIED,MWPAT Septic Repair,4079.03,,,4079.03,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,36,UNCLASSIFIED,WPAT Septic Receipts Reserved,36490.59,,,36490.59,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,36,UNCLASSIFIED,E.O.C.D. Septic I Grant,104171.03,12430.58,7167.49,109434.12,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,36,UNCLASSIFIED,Water Enterprise Fund,54543.57,47433.01,44436.98,57539.60,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,37,UNCLASSIFIED,Sewer Enterprise Fund,1625480.81,1200003.77,1218722.23,1606762.35,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,37,UNCLASSIFIED,Sewer Betterment Fund,740043.58,1128812.62,705876.16,1162980.04,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,37,UNCLASSIFIED,Public Health Emergency Preparedness,12295.09,,,12295.09,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,37,UNCLASSIFIED,Storm Water Task Force Revolving,3304.00,1198.00,,4502.00,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,37,UNCLASSIFIED,Inspector's Revolving Fund,1678.25,33081.25,31736.25,3023.25,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,37,UNCLASSIFIED,Timber Rights Revolving,25523.12,,282.40,25240.72,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,37,UNCLASSIFIED,Cares Act Funding - COVID,149847.49,-145539.40,-3071.11,7379.20,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,37,UNCLASSIFIED,FEMA #4496 - COVID Grant,-74911.81,,28124.00,-103035.81,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,37,UNCLASSIFIED,ARPA Funds,614195.58,1139985.74,10779.68,1743401.64,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,37,UNCLASSIFIED,Artificial Turf Revolving,50096.44,45000.00,44318.19,50778.25,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,37,UNCLASSIFIED,DEP Pay As You Throw Grant,4720.43,,,4720.43,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,37,UNCLASSIFIED,Recycling Outreach Fund,13179.91,3800.00,333.30,16646.61,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,37,UNCLASSIFIED,Repayments Sewer Hookup,9222.00,,,9222.00,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,37,UNCLASSIFIED,Solid Waste/Recycling Enterprise Fund,133595.89,397739.12,370053.43,161281.58,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,37,UNCLASSIFIED,CVS Volunteer Challenge Grant,500.00,,,500.00,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,37,UNCLASSIFIED,Fields Pond Foundation,1600.00,,,1600.00,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,37,UNCLASSIFIED,March for Parks,1617.25,,,1617.25,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,37,UNCLASSIFIED,Skate Park Fund,197.00,,,197.00,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,37,UNCLASSIFIED,Weights/Measures Citation Fund,325.00,,,325.00,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,37,UNCLASSIFIED,Marshall Park Restoration Fund,125.00,,,125.00,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,37,UNCLASSIFIED,PEG Access Enterprise Fund,857497.82,203521.77,127191.05,933828.54,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,37,UNCLASSIFIED,Sale of Real Estate Fund,43175.00,,,43175.00,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,37,UNCLASSIFIED,Arts Lottery Fund,17890.03,7753.68,3680.00,21963.71,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,37,UNCLASSIFIED,Debris Removal Gift Fund,676.00,,,676.00,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,37,UNCLASSIFIED,Citizens Relief Fund,200.00,,,200.00,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,37,UNCLASSIFIED,Mass Trails Grant,-3734.85,,16492.85,-20227.70,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,37,UNCLASSIFIED,Hollis Road Revolving,49783.79,10200.00,1575.46,58408.33,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,37,UNCLASSIFIED,TNC Per Ride Assessment Fund,2361.40,401.50,,2762.90,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
