board,board_slug,date,kind,file_id,url,first_seen,basis
Agricultural Commission,agricultural-commission,2023-01-19,minutes,14,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_01192023-14,,seed
Agricultural Commission,agricultural-commission,2023-02-16,agenda,13,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_02162023-13,,seed
Agricultural Commission,agricultural-commission,2023-02-16,minutes,13,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_02162023-13,,seed
Agricultural Commission,agricultural-commission,2023-03-22,agenda,10,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_03222023-10,,seed
Agricultural Commission,agricultural-commission,2023-03-22,minutes,10,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_03222023-10,,seed
Agricultural Commission,agricultural-commission,2023-04-13,agenda,12,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_04132023-12,,seed
Agricultural Commission,agricultural-commission,2023-04-13,minutes,12,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_04132023-12,,seed
Agricultural Commission,agricultural-commission,2023-05-11,agenda,11,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_05112023-11,,seed
Agricultural Commission,agricultural-commission,2023-05-11,minutes,11,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_05112023-11,,seed
Agricultural Commission,agricultural-commission,2023-06-01,agenda,8,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_06012023-8,,seed
Agricultural Commission,agricultural-commission,2023-06-01,minutes,8,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_06012023-8,,seed
Agricultural Commission,agricultural-commission,2023-06-15,agenda,9,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_06152023-9,,seed
Agricultural Commission,agricultural-commission,2023-06-15,minutes,9,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_06152023-9,,seed
Agricultural Commission,agricultural-commission,2023-07-20,agenda,401,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_07202023-401,,seed
Agricultural Commission,agricultural-commission,2023-08-17,agenda,365,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_08172023-365,,seed
Agricultural Commission,agricultural-commission,2023-08-17,minutes,365,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_08172023-365,,seed
Agricultural Commission,agricultural-commission,2023-09-14,agenda,328,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_09142023-328,,seed
Agricultural Commission,agricultural-commission,2023-09-14,minutes,328,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_09142023-328,,seed
Agricultural Commission,agricultural-commission,2023-10-19,agenda,448,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_10192023-448,,seed
Agricultural Commission,agricultural-commission,2023-11-16,agenda,3943,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_11162023-3943,,seed
Agricultural Commission,agricultural-commission,2023-12-14,agenda,6124,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_12142023-6124,,seed
Agricultural Commission,agricultural-commission,2023-12-21,agenda,6148,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_12212023-6148,,seed
Agricultural Commission,agricultural-commission,2023-12-21,minutes,6148,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_12212023-6148,,seed
Agricultural Commission,agricultural-commission,2024-01-18,agenda,6361,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_01182024-6361,,seed
