fy,department,person,title,page,as_printed
2025,Conservation Commission,Jenny Pewtherer,Chair,47,"Jenny Pewtherer, Chair"
2025,Conservation Commission,Richard Bursch,Vice-Chair,47,"Richard Bursch, Vice-Chair"
2025,Finance Committee,Christopher Menard,Chair,55,"• Christopher Menard, Chair"
2025,Finance Committee,Jean Russell,Vice-Chair,55,"• Jean Russell, Vice-Chair"
2025,Housing Authority Submitted Lunenburg Public Library,Steve Walker,Chair,60,"Steve Walker, Chair"
2025,Housing Authority Submitted Lunenburg Public Library,Faith Beall,Vice Chair,60,"Faith Beall, Vice Chair"
2025,Planning Board,Matthew Brenner,Chair,85,"Matthew Brenner, Chair Timothy Willsmer, Vice Amanda Reid, Clerk"
2025,Planning Board,Altred Gravelle,Chairman,85,"The Loning Board consists of the following members: Altred Gravelle, Chairman, James Besarkarski, Vice-"
2025,Program Sewer Commission,Brett Ramsden,Chair,68,"Brett Ramsden, Chair"
2025,Program Sewer Commission,Scott Dall,Vice-Chair,68,"Scott Dall, Vice-Chair"
2025,Report of the Town Manager,Caesar Nuzzolo,Chair,23,"ceremony held on April 18, 2025. Select Board Chair Caesar Nuzzolo served as Master of Ceremonies and"
2025,Trust Fund Commission,John Bowen,Chair,184,"John Bowen, Chair (elected May 17, 2025)"
2025,Trust Fund Commission,Richard Howard,Vice-Chair,184,"Richard Howard, Vice-Chair (elected May 17, 2025)"
