dor_code,municipality,fy,sf_value_total,sf_parcels,avg_sf_value,avg_sf_bill,bill_pct_of_value,income_per_capita,bill_pct_of_income,rank,source_file,sha256
002,Acton,1988,600120500,4093,146621,2683,1.83,,,15,AvgSingleFamTaxBill-2026-09-26-5d7664b92f9f.xlsx,5d7664b92f9f99e2188d472c84e2f6f66db36ff4f206c9f0dbf76edaf677789f
003,Acushnet,2027,,,,,,,,,AvgSingleFamTaxBill-2026-09-26-5d7664b92f9f.xlsx,5d7664b92f9f99e2188d472c84e2f6f66db36ff4f206c9f0dbf76edaf677789f
003,Acushnet,2026,1724744100,3437,501817,5244,1.05,42796,12.25,265,AvgSingleFamTaxBill-2026-09-26-5d7664b92f9f.xlsx,5d7664b92f9f99e2188d472c84e2f6f66db36ff4f206c9f0dbf76edaf677789f
003,Acushnet,2025,1617568000,3429,471732,5090,1.08,40392,12.6,263,AvgSingleFamTaxBill-2026-09-26-5d7664b92f9f.xlsx,5d7664b92f9f99e2188d472c84e2f6f66db36ff4f206c9f0dbf76edaf677789f
003,Acushnet,2024,1464664600,3423,427889,4882,1.14,38638,12.64,264,AvgSingleFamTaxBill-2026-09-26-5d7664b92f9f.xlsx,5d7664b92f9f99e2188d472c84e2f6f66db36ff4f206c9f0dbf76edaf677789f
003,Acushnet,2023,1341985800,3406,394006,4728,1.2,35648,13.26,258,AvgSingleFamTaxBill-2026-09-26-5d7664b92f9f.xlsx,5d7664b92f9f99e2188d472c84e2f6f66db36ff4f206c9f0dbf76edaf677789f
003,Acushnet,2022,1164788000,3378,344816,4576,1.33,33075,13.84,253,AvgSingleFamTaxBill-2026-09-26-5d7664b92f9f.xlsx,5d7664b92f9f99e2188d472c84e2f6f66db36ff4f206c9f0dbf76edaf677789f
003,Acushnet,2021,1060852700,3365,315261,4360,1.38,31918,13.66,233,AvgSingleFamTaxBill-2026-09-26-5d7664b92f9f.xlsx,5d7664b92f9f99e2188d472c84e2f6f66db36ff4f206c9f0dbf76edaf677789f
003,Acushnet,2020,1034416900,3343,309428,4313,1.39,30529,14.13,231,AvgSingleFamTaxBill-2026-09-26-5d7664b92f9f.xlsx,5d7664b92f9f99e2188d472c84e2f6f66db36ff4f206c9f0dbf76edaf677789f
003,Acushnet,2019,976906600,3319,294338,4174,1.42,29416,14.19,229,AvgSingleFamTaxBill-2026-09-26-5d7664b92f9f.xlsx,5d7664b92f9f99e2188d472c84e2f6f66db36ff4f206c9f0dbf76edaf677789f
003,Acushnet,2018,925884500,3314,279386,4029,1.44,28701,14.04,235,AvgSingleFamTaxBill-2026-09-26-5d7664b92f9f.xlsx,5d7664b92f9f99e2188d472c84e2f6f66db36ff4f206c9f0dbf76edaf677789f
003,Acushnet,2017,891470400,3288,271128,3915,1.44,27786,14.09,237,AvgSingleFamTaxBill-2026-09-26-5d7664b92f9f.xlsx,5d7664b92f9f99e2188d472c84e2f6f66db36ff4f206c9f0dbf76edaf677789f
003,Acushnet,2016,853982600,3273,260917,3791,1.45,27084,14,237,AvgSingleFamTaxBill-2026-09-26-5d7664b92f9f.xlsx,5d7664b92f9f99e2188d472c84e2f6f66db36ff4f206c9f0dbf76edaf677789f
003,Acushnet,2015,818098100,3253,251490,3591,1.43,25814,13.91,242,AvgSingleFamTaxBill-2026-09-26-5d7664b92f9f.xlsx,5d7664b92f9f99e2188d472c84e2f6f66db36ff4f206c9f0dbf76edaf677789f
003,Acushnet,2014,809177400,3230,250519,3495,1.4,25483,13.72,242,AvgSingleFamTaxBill-2026-09-26-5d7664b92f9f.xlsx,5d7664b92f9f99e2188d472c84e2f6f66db36ff4f206c9f0dbf76edaf677789f
003,Acushnet,2013,826298200,3220,256614,3380,1.32,24315,13.9,243,AvgSingleFamTaxBill-2026-09-26-5d7664b92f9f.xlsx,5d7664b92f9f99e2188d472c84e2f6f66db36ff4f206c9f0dbf76edaf677789f
003,Acushnet,2012,851324800,3211,265128,3306,1.25,25213,13.11,242,AvgSingleFamTaxBill-2026-09-26-5d7664b92f9f.xlsx,5d7664b92f9f99e2188d472c84e2f6f66db36ff4f206c9f0dbf76edaf677789f
003,Acushnet,2011,904092900,3207,281912,3217,1.14,25829,12.45,240,AvgSingleFamTaxBill-2026-09-26-5d7664b92f9f.xlsx,5d7664b92f9f99e2188d472c84e2f6f66db36ff4f206c9f0dbf76edaf677789f
003,Acushnet,2010,962289700,3204,300340,3145,1.05,24680,12.74,237,AvgSingleFamTaxBill-2026-09-26-5d7664b92f9f.xlsx,5d7664b92f9f99e2188d472c84e2f6f66db36ff4f206c9f0dbf76edaf677789f
003,Acushnet,2009,1009855900,3197,315876,3048,0.96,23204,13.14,242,AvgSingleFamTaxBill-2026-09-26-5d7664b92f9f.xlsx,5d7664b92f9f99e2188d472c84e2f6f66db36ff4f206c9f0dbf76edaf677789f
003,Acushnet,2008,1018870800,3183,320098,2961,0.92,22292,13.28,240,AvgSingleFamTaxBill-2026-09-26-5d7664b92f9f.xlsx,5d7664b92f9f99e2188d472c84e2f6f66db36ff4f206c9f0dbf76edaf677789f
003,Acushnet,2007,1003251100,3162,317284,2916,0.92,20934,13.93,233,AvgSingleFamTaxBill-2026-09-26-5d7664b92f9f.xlsx,5d7664b92f9f99e2188d472c84e2f6f66db36ff4f206c9f0dbf76edaf677789f
003,Acushnet,2006,895434525,3124,286631,2763,0.96,,,230,AvgSingleFamTaxBill-2026-09-26-5d7664b92f9f.xlsx,5d7664b92f9f99e2188d472c84e2f6f66db36ff4f206c9f0dbf76edaf677789f
003,Acushnet,2005,762274500,3091,246611,2688,1.09,,,229,AvgSingleFamTaxBill-2026-09-26-5d7664b92f9f.xlsx,5d7664b92f9f99e2188d472c84e2f6f66db36ff4f206c9f0dbf76edaf677789f
003,Acushnet,2004,656980600,3070,214000,2517,1.18,,,229,AvgSingleFamTaxBill-2026-09-26-5d7664b92f9f.xlsx,5d7664b92f9f99e2188d472c84e2f6f66db36ff4f206c9f0dbf76edaf677789f
003,Acushnet,2003,443588000,3016,147078,2328,1.58,,,234,AvgSingleFamTaxBill-2026-09-26-5d7664b92f9f.xlsx,5d7664b92f9f99e2188d472c84e2f6f66db36ff4f206c9f0dbf76edaf677789f
