kind,sy,org_code,org_name,org_type,stu_grp,subj_cat,subj,test_takers_cnt,tests_taken_cnt,one_test_cnt,two_test_cnt,three_test_cnt,four_test_cnt,five_plus_test_cnt,tests_taken,score_1,score_2,score_3,score_4,score_5,pct_1_2,pct_3_5
participation,2025,01620505,Lunenburg High,School,All Students,Arts,Studio Art: 2-D Design,4,,,,,,,,,,,,,,
participation,2025,01620505,Lunenburg High,School,All Students,Foreign Languages,Foreign Languages,1,,,,,,,,,,,,,,
participation,2025,01620505,Lunenburg High,School,All Students,Science and Technology,Science and Technology,9,,,,,,,,,,,,,,
participation,2025,01620505,Lunenburg High,School,All Students,Arts,2-D Art and Design,4,,,,,,,,,,,,,,
participation,2025,01620505,Lunenburg High,School,All Students,Arts,Arts,5,,,,,,,,,,,,,,
participation,2025,01620505,Lunenburg High,School,All Students,History and Social Science,Human Geography,1,,,,,,,,,,,,,,
participation,2025,01620505,Lunenburg High,School,All Students,English Language Arts,English Language Arts,58,58,58,0,0,0,0,,,,,,,,
participation,2025,01620505,Lunenburg High,School,All Students,History and Social Science,History and Social Science,56,59,53,3,0,0,0,,,,,,,,
participation,2025,01620505,Lunenburg High,School,All Students,Arts,Studio Art: Drawing,1,,,,,,,,,,,,,,
participation,2025,01620505,Lunenburg High,School,All Students,Arts,Drawing,1,,,,,,,,,,,,,,
participation,2025,01620505,Lunenburg High,School,All Students,English Language Arts,English Lit/Comp,22,22,22,0,0,0,0,,,,,,,,
participation,2025,01620505,Lunenburg High,School,All Students,History and Social Science,Psychology,2,,,,,,,,,,,,,,
participation,2025,01620505,Lunenburg High,School,All Students,History and Social Science,History: U.S.,25,25,25,0,0,0,0,,,,,,,,
participation,2025,01620505,Lunenburg High,School,All Students,Science and Technology,Environmental Sci,1,,,,,,,,,,,,,,
participation,2025,01620505,Lunenburg High,School,All Students,Science and Technology,Chemistry,1,,,,,,,,,,,,,,
participation,2025,01620505,Lunenburg High,School,All Students,Foreign Languages,French Lang,1,,,,,,,,,,,,,,
participation,2025,01620505,Lunenburg High,School,All Students,History and Social Science,Govt RAD: U.S.,31,31,31,0,0,0,0,,,,,,,,
participation,2025,01620505,Lunenburg High,School,All Students,Math and Computer Science,Statistics,13,13,13,0,0,0,0,,,,,,,,
participation,2025,01620505,Lunenburg High,School,All Students,History and Social Science,Govt & Pol: U.S.,31,31,31,0,0,0,0,,,,,,,,
participation,2025,01620505,Lunenburg High,School,All Students,Math and Computer Science,Computer Sci A,2,,,,,,,,,,,,,,
participation,2025,01620505,Lunenburg High,School,All Students,Math and Computer Science,Math and Computer Science,18,21,15,3,0,0,0,,,,,,,,
participation,2025,01620505,Lunenburg High,School,All Students,English Language Arts,English Lang/Comp,36,36,36,0,0,0,0,,,,,,,,
participation,2025,01620505,Lunenburg High,School,All Students,Science and Technology,Physics 1,1,,,,,,,,,,,,,,
participation,2025,01620505,Lunenburg High,School,All Students,Science and Technology,Biology,7,,,,,,,,,,,,,,
participation,2025,01620505,Lunenburg High,School,Black or African American,English Language Arts,English Language Arts,1,,,,,,,,,,,,,,
participation,2025,01620505,Lunenburg High,School,Black or African American,History and Social Science,History: U.S.,2,,,,,,,,,,,,,,
participation,2025,01620505,Lunenburg High,School,Black or African American,English Language Arts,English Lang/Comp,1,,,,,,,,,,,,,,
participation,2025,01620505,Lunenburg High,School,Black or African American,History and Social Science,History and Social Science,2,,,,,,,,,,,,,,
participation,2025,01620505,Lunenburg High,School,Hispanic or Latino,English Language Arts,English Lang/Comp,1,,,,,,,,,,,,,,
participation,2025,01620505,Lunenburg High,School,Hispanic or Latino,Arts,Studio Art: 2-D Design,2,,,,,,,,,,,,,,
participation,2025,01620505,Lunenburg High,School,Hispanic or Latino,History and Social Science,History: U.S.,1,,,,,,,,,,,,,,
participation,2025,01620505,Lunenburg High,School,Hispanic or Latino,History and Social Science,History and Social Science,3,,,,,,,,,,,,,,
participation,2025,01620505,Lunenburg High,School,Hispanic or Latino,English Language Arts,English Lit/Comp,1,,,,,,,,,,,,,,
participation,2025,01620505,Lunenburg High,School,Hispanic or Latino,History and Social Science,Govt RAD: U.S.,2,,,,,,,,,,,,,,
participation,2025,01620505,Lunenburg High,School,Hispanic or Latino,Science and Technology,Science and Technology,1,,,,,,,,,,,,,,
participation,2025,01620505,Lunenburg High,School,Hispanic or Latino,Math and Computer Science,Math and Computer Science,1,,,,,,,,,,,,,,
participation,2025,01620505,Lunenburg High,School,Hispanic or Latino,English Language Arts,English Language Arts,2,,,,,,,,,,,,,,
participation,2025,01620505,Lunenburg High,School,Hispanic or Latino,History and Social Science,Govt & Pol: U.S.,2,,,,,,,,,,,,,,
participation,2025,01620505,Lunenburg High,School,Hispanic or Latino,Math and Computer Science,Statistics,1,,,,,,,,,,,,,,
participation,2025,01620505,Lunenburg High,School,Hispanic or Latino,Arts,Arts,2,,,,,,,,,,,,,,
participation,2025,01620505,Lunenburg High,School,Hispanic or Latino,Arts,2-D Art and Design,2,,,,,,,,,,,,,,
participation,2025,01620505,Lunenburg High,School,Hispanic or Latino,Science and Technology,Biology,1,,,,,,,,,,,,,,
participation,2025,01620505,Lunenburg High,School,"Multi-Race, Not Hispanic or Latino",English Language Arts,English Language Arts,1,,,,,,,,,,,,,,
participation,2025,01620505,Lunenburg High,School,"Multi-Race, Not Hispanic or Latino",English Language Arts,English Lang/Comp,1,,,,,,,,,,,,,,
participation,2025,01620505,Lunenburg High,School,"Multi-Race, Not Hispanic or Latino",History and Social Science,History and Social Science,1,,,,,,,,,,,,,,
participation,2025,01620505,Lunenburg High,School,"Multi-Race, Not Hispanic or Latino",History and Social Science,History: U.S.,1,,,,,,,,,,,,,,
participation,2025,01620505,Lunenburg High,School,Native Hawaiian or Other Pacific Islander,History and Social Science,History and Social Science,1,,,,,,,,,,,,,,
participation,2025,01620505,Lunenburg High,School,Native Hawaiian or Other Pacific Islander,History and Social Science,Govt & Pol: U.S.,1,,,,,,,,,,,,,,
participation,2025,01620505,Lunenburg High,School,Native Hawaiian or Other Pacific Islander,History and Social Science,Govt RAD: U.S.,1,,,,,,,,,,,,,,
participation,2025,01620505,Lunenburg High,School,White,Arts,2-D Art and Design,2,,,,,,,,,,,,,,
participation,2025,01620505,Lunenburg High,School,White,Arts,Studio Art: 2-D Design,2,,,,,,,,,,,,,,
participation,2025,01620505,Lunenburg High,School,White,English Language Arts,English Language Arts,54,54,54,0,0,0,0,,,,,,,,
participation,2025,01620505,Lunenburg High,School,White,Arts,Studio Art: Drawing,1,,,,,,,,,,,,,,
participation,2025,01620505,Lunenburg High,School,White,Science and Technology,Biology,6,,,,,,,,,,,,,,
participation,2025,01620505,Lunenburg High,School,White,Science and Technology,Chemistry,1,,,,,,,,,,,,,,
participation,2025,01620505,Lunenburg High,School,White,Math and Computer Science,Statistics,12,12,12,0,0,0,0,,,,,,,,
participation,2025,01620505,Lunenburg High,School,White,Science and Technology,Science and Technology,8,,,,,,,,,,,,,,
