fy,lea,district,org_code,org_name,org_level,subject,subject_level,pk_2_fte,grade_3_5_fte,grade_6_8_fte,grade_9_12_fte,multi_grade_fte,all_grade_fte,total_fte,printing,reconciles,agrees_with_teacher_subject,doc_id
2008,01250000,Harvard,01250005,Hildreth Elementary School,school,Special Education Services,subject,0,0,0,0,2,0,2,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,01250000,Harvard,01250505,The Bromfield High School,school,All,all,0,0,12.2,14.7,24.1,2,53.1,1,yes,yes,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,01250000,Harvard,01250505,The Bromfield High School,school,Arts,subject,0,0,0.5,0,4.3,1,5.8,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,01250000,Harvard,01250505,The Bromfield High School,school,Civics/Government,subject,0,0,0,0,0.5,0,0.5,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,01250000,Harvard,01250505,The Bromfield High School,school,Economics,subject,0,0,0,0,0.7,0,0.7,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,01250000,Harvard,01250505,The Bromfield High School,school,English/Language Arts,subject,0,0,3,3.8,1.5,0,8.2,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,01250000,Harvard,01250505,The Bromfield High School,school,Foreign Language,subject,0,0,0.4,0,6.6,0,7,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,01250000,Harvard,01250505,The Bromfield High School,school,Geography,subject,0,0,3,1,0,0,4,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,01250000,Harvard,01250505,The Bromfield High School,school,History,subject,0,0,0,1.3,0.5,0,1.8,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,01250000,Harvard,01250505,The Bromfield High School,school,Mathematics,subject,0,0,2.3,4.6,1.1,0,8,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,01250000,Harvard,01250505,The Bromfield High School,school,Miscellaneous,subject,0,0,0,0,0,1,1,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,01250000,Harvard,01250505,The Bromfield High School,school,"Physical, Health, and Safety Education",subject,0,0,0,0,2,0,2,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,01250000,Harvard,01250505,The Bromfield High School,school,"Public, Protective, and Government Service",subject,0,0,0,0,0.3,0,0.3,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,01250000,Harvard,01250505,The Bromfield High School,school,Science,subject,0,0,3,4,0.7,0,7.7,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,01250000,Harvard,01250505,The Bromfield High School,school,Social Studies/Social Sciences,subject,0,0,0,0,1,0,1,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,01250000,Harvard,01250505,The Bromfield High School,school,Special Education Services,subject,0,0,0,0,5,0,5,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,01620000,Lunenburg,01620000,Lunenburg,district,All,all,20.5,19.3,22.7,41,6.5,9.5,119.5,1,yes,yes,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,01620000,Lunenburg,01620000,Lunenburg,district,Architecture and Construction,subject,0,0,0,0.6,0,0,0.6,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,01620000,Lunenburg,01620000,Lunenburg,district,Arts,subject,0,0.3,1.7,2.8,0,2,6.8,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,01620000,Lunenburg,01620000,Lunenburg,district,Civics/Government,subject,0,0,0,0.6,0,0,0.6,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,01620000,Lunenburg,01620000,Lunenburg,district,Communications and Audio/Visual Technology,subject,0,0,0,0.2,0,0,0.2,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,01620000,Lunenburg,01620000,Lunenburg,district,Computer and Information Sciences,subject,0,0,0,0.6,0,1,1.6,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,01620000,Lunenburg,01620000,Lunenburg,district,Core-All Subjects,group,20,19,9,1,6.5,1,56.5,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,01620000,Lunenburg,01620000,Lunenburg,district,Engineering and Technology,subject,0,0,0,0.4,0,0,0.4,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,01620000,Lunenburg,01620000,Lunenburg,district,English/Language Arts,subject,0,0,4,7.8,0,0,11.8,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,01620000,Lunenburg,01620000,Lunenburg,district,Foreign Language,subject,0,0,0,5,0,1.5,6.5,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,01620000,Lunenburg,01620000,Lunenburg,district,History,subject,0,0,1,5.2,0,0,6.2,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,01620000,Lunenburg,01620000,Lunenburg,district,Mathematics,subject,0,0,3,6,0,0,9,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,01620000,Lunenburg,01620000,Lunenburg,district,Miscellaneous,subject,0,0,0,0.5,0,0,0.5,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,01620000,Lunenburg,01620000,Lunenburg,district,"Physical, Health, and Safety Education",subject,0,0,0,3,0,4,7,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,01620000,Lunenburg,01620000,Lunenburg,district,Reading,subject,0.5,0,0,0,0,0,0.5,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,01620000,Lunenburg,01620000,Lunenburg,district,Science,subject,0,0,3,6,0,0,9,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,01620000,Lunenburg,01620000,Lunenburg,district,Social Studies/Social Sciences,subject,0,0,1,0.6,0,0,1.6,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,01620000,Lunenburg,01620000,Lunenburg,district,"Transportation, Distribution and Logistics",subject,0,0,0,0.7,0,0,0.7,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,01620000,Lunenburg,01620010,Lunenburg Primary School,school,All,all,20.5,0,0,0,1.5,2.5,24.5,1,yes,yes,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,01620000,Lunenburg,01620010,Lunenburg Primary School,school,Arts,subject,0,0,0,0,0,1.5,1.5,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,01620000,Lunenburg,01620010,Lunenburg Primary School,school,Core-All Subjects,group,20,0,0,0,1.5,0,21.5,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,01620000,Lunenburg,01620010,Lunenburg Primary School,school,"Physical, Health, and Safety Education",subject,0,0,0,0,0,1,1,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,01620000,Lunenburg,01620010,Lunenburg Primary School,school,Reading,subject,0.5,0,0,0,0,0,0.5,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,01620000,Lunenburg,01620015,Thomas C Passios Elementary,school,All,all,0,19.3,0,0,1,2.2,22.5,1,yes,yes,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,01620000,Lunenburg,01620015,Thomas C Passios Elementary,school,Arts,subject,0,0.3,0,0,0,0.5,0.8,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,01620000,Lunenburg,01620015,Thomas C Passios Elementary,school,Computer and Information Sciences,subject,0,0,0,0,0,0.3,0.3,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,01620000,Lunenburg,01620015,Thomas C Passios Elementary,school,Core-All Subjects,group,0,19,0,0,1,0,20,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,01620000,Lunenburg,01620015,Thomas C Passios Elementary,school,Foreign Language,subject,0,0,0,0,0,0.1,0.1,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,01620000,Lunenburg,01620015,Thomas C Passios Elementary,school,"Physical, Health, and Safety Education",subject,0,0,0,0,0,1.3,1.3,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,01620000,Lunenburg,01620020,Turkey Hill Middle,school,All,all,0,0,22.7,0,1,4.8,28.5,1,yes,yes,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,01620000,Lunenburg,01620020,Turkey Hill Middle,school,Arts,subject,0,0,1.7,0,0,0,1.7,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,01620000,Lunenburg,01620020,Turkey Hill Middle,school,Computer and Information Sciences,subject,0,0,0,0,0,0.7,0.7,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,01620000,Lunenburg,01620020,Turkey Hill Middle,school,Core-All Subjects,group,0,0,9,0,1,1,11,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,01620000,Lunenburg,01620020,Turkey Hill Middle,school,English/Language Arts,subject,0,0,4,0,0,0,4,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,01620000,Lunenburg,01620020,Turkey Hill Middle,school,Foreign Language,subject,0,0,0,0,0,1.4,1.4,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,01620000,Lunenburg,01620020,Turkey Hill Middle,school,History,subject,0,0,1,0,0,0,1,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,01620000,Lunenburg,01620020,Turkey Hill Middle,school,Mathematics,subject,0,0,3,0,0,0,3,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,01620000,Lunenburg,01620020,Turkey Hill Middle,school,"Physical, Health, and Safety Education",subject,0,0,0,0,0,1.7,1.7,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,01620000,Lunenburg,01620020,Turkey Hill Middle,school,Science,subject,0,0,3,0,0,0,3,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,01620000,Lunenburg,01620020,Turkey Hill Middle,school,Social Studies/Social Sciences,subject,0,0,1,0,0,0,1,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,01620000,Lunenburg,01620505,Lunenburg High,school,All,all,0,0,0,41,3,0,44,1,yes,yes,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,01620000,Lunenburg,01620505,Lunenburg High,school,Architecture and Construction,subject,0,0,0,0.6,0,0,0.6,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,01620000,Lunenburg,01620505,Lunenburg High,school,Arts,subject,0,0,0,2.8,0,0,2.8,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,01620000,Lunenburg,01620505,Lunenburg High,school,Civics/Government,subject,0,0,0,0.6,0,0,0.6,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,01620000,Lunenburg,01620505,Lunenburg High,school,Communications and Audio/Visual Technology,subject,0,0,0,0.2,0,0,0.2,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,01620000,Lunenburg,01620505,Lunenburg High,school,Computer and Information Sciences,subject,0,0,0,0.6,0,0,0.6,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,01620000,Lunenburg,01620505,Lunenburg High,school,Core-All Subjects,group,0,0,0,1,3,0,4,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,01620000,Lunenburg,01620505,Lunenburg High,school,Engineering and Technology,subject,0,0,0,0.4,0,0,0.4,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,01620000,Lunenburg,01620505,Lunenburg High,school,English/Language Arts,subject,0,0,0,7.8,0,0,7.8,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,01620000,Lunenburg,01620505,Lunenburg High,school,Foreign Language,subject,0,0,0,5,0,0,5,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
