fy,lea,district,level,eligible_students_claimed,total_eligible_expenses,threshold_amount,net_eligible_instruction_tuition,net_eligible_transport,total_net_claim,reimb_instruction_tuition,reimb_special_circumstance_tuition,reimb_transport,reimb_special_circumstance_transport,prior_year_adjustment,total_quarterly_payment,extra_relief_payment,additional_supplemental_payment,comments,reconciles,doc_id
2020,01620000,Lunenburg,district,13,1233945,595296,638649,,638649,478987,,,,,478987,,,,,sources/state-dese/dese-circuit-breaker.xlsx
2020,06100000,Ashburnham-Westminster,district,13,957093,572400,384693,,384693,288520,,,,,288520,,,,,sources/state-dese/dese-circuit-breaker.xlsx
2020,06160000,Ayer Shirley School District,district,30,2197822,1327968,869854,,869854,652393,,,,,652393,,,,,sources/state-dese/dese-circuit-breaker.xlsx
2020,06730000,Groton-Dunstable,district,36,3101019,1625616,1475403,,1475403,1106552,,,,,1106552,,,,,sources/state-dese/dese-circuit-breaker.xlsx
2020,07350000,North Middlesex,district,44,3791843,2014848,1776995,,1776995,1332746,,,,,1332746,,,,,sources/state-dese/dese-circuit-breaker.xlsx
2021,00000000,State,state,10194,908604632,486082656,422521976,,422521976,302114116,19703191,,,-5566,321811741,2709999,,,,sources/state-dese/dese-circuit-breaker.xlsx
2021,01250000,Harvard,district,19,1608068,918688,689380,,689380,517035,,,,,517035,,,,,sources/state-dese/dese-circuit-breaker.xlsx
2021,01620000,Lunenburg,district,9,1081273,435168,646105,,646105,484579,,,,,484579,,,,,sources/state-dese/dese-circuit-breaker.xlsx
2021,06100000,Ashburnham-Westminster,district,14,1006935,652752,354183,,354183,265637,,,,,265637,,,,,sources/state-dese/dese-circuit-breaker.xlsx
2021,06160000,Ayer Shirley School District,district,34,2477947,1571440,906507,,906507,679880,,,,,679880,,,,,sources/state-dese/dese-circuit-breaker.xlsx
2021,06730000,Groton-Dunstable,district,34,3175472,1619792,1555680,,1555680,1166760,,,,,1166760,,,,,sources/state-dese/dese-circuit-breaker.xlsx
2021,07350000,North Middlesex,district,44,3915513,2127488,1788025,,1788025,1341019,,,,,1341019,,,,,sources/state-dese/dese-circuit-breaker.xlsx
2022,00000000,State,state,10663,978765807,496463520,457478609,25426241,482904850,327600222,20680080,18651139,558980,-378856,367111565,2575437,,,yes,sources/state-dese/dese-circuit-breaker.xlsx
2022,01250000,Harvard,district,22,1917500,1074192,802624,51681,854305,583331,24852,38765,,,646948,93717,,,yes,sources/state-dese/dese-circuit-breaker.xlsx
2022,01620000,Lunenburg,district,7,1061557,373632,673064,19460,692524,504798,,14596,,,519394,,,,yes,sources/state-dese/dese-circuit-breaker.xlsx
2022,06100000,Ashburnham-Westminster,district,13,1109558,630504,433784,46469,480253,325339,,34853,,,360192,,,,yes,sources/state-dese/dese-circuit-breaker.xlsx
2022,06160000,Ayer Shirley School District,district,34,2692015,1657992,918994,129114,1048108,689250,,96843,,,786093,,,,yes,sources/state-dese/dese-circuit-breaker.xlsx
2022,06730000,Groton-Dunstable,district,33,3241194,1564584,1648588,31531,1680119,1236444,,23650,,,1260094,,,,yes,sources/state-dese/dese-circuit-breaker.xlsx
2022,07350000,North Middlesex,district,42,3966699,1961568,1853812,151321,2005133,1390362,,113492,,,1503854,,,,yes,sources/state-dese/dese-circuit-breaker.xlsx
2023,00000000,State,state,10317,1044318150,483813095,457334419,103222799,560557218,331507036,15326580,76253375,1552693,-23688,424616029,4537948,,,yes,sources/state-dese/dese-circuit-breaker.xlsx
2023,01250000,Harvard,district,28,2600533,1326164,1034365,240007,1274372,750926,33137,163056,22598,,969717,,,,yes,sources/state-dese/dese-circuit-breaker.xlsx
2023,01620000,Lunenburg,district,6,838507,284178,484103,70226,554329,363079,,52671,,,415750,,,,yes,sources/state-dese/dese-circuit-breaker.xlsx
2023,06100000,Ashburnham-Westminster,district,18,1699380,828853,644234,226294,870528,483178,,169721,,,652899,,,,yes,sources/state-dese/dese-circuit-breaker.xlsx
2023,06160000,Ayer Shirley School District,district,37,3051467,1752431,803426,496707,1300133,602572,,372537,,,975109,,,,yes,sources/state-dese/dese-circuit-breaker.xlsx
2023,06730000,Groton-Dunstable,district,38,3671790,1847157,1663965,161616,1825581,1247978,,121214,,,1369192,,,,yes,sources/state-dese/dese-circuit-breaker.xlsx
2023,07350000,North Middlesex,district,47,5289986,2273424,2256997,760527,3017524,1692752,,570400,,,2263152,,,,yes,sources/state-dese/dese-circuit-breaker.xlsx
2024,00000000,State,state,10421,1156118508,508798320,478806435,168399358,647205793,345691705,17884151,95398361,3021121,-485287,461510053,27732928,18707754,,yes,sources/state-dese/dese-circuit-breaker.xlsx
2024,01250000,Harvard,district,30,3105756,1484820,1251419,369517,1620936,938435,173,201125,21285,,1161018,,49917,Supplemental payment provided to districts eligible for Reserve Relief enacted by the state legislature for FY24,yes,sources/state-dese/dese-circuit-breaker.xlsx
2024,01620000,Lunenburg,district,7,914865,346458,427262,141145,568407,320447,,81519,,,401966,,,,yes,sources/state-dese/dese-circuit-breaker.xlsx
2024,06100000,Ashburnham-Westminster,district,19,2243086,890892,930757,418723,1349480,698067,,241838,,,939905,,,,yes,sources/state-dese/dese-circuit-breaker.xlsx
2024,06160000,Ayer Shirley School District,district,36,3292170,1732290,847986,711893,1559879,605775,40287,377275,58670,,1082007,,,,yes,sources/state-dese/dese-circuit-breaker.xlsx
2024,06730000,Groton-Dunstable,district,36,3578082,1781784,1676516,119782,1796298,1257387,,69182,,,1326569,239855,54160,Supplemental payment provided to districts eligible for Reserve Relief enacted by the state legislature for FY24,yes,sources/state-dese/dese-circuit-breaker.xlsx
2024,07350000,North Middlesex,district,57,6231069,2821158,2292856,1117055,3409911,1719642,,645166,,-78152,2286656,,,,yes,sources/state-dese/dese-circuit-breaker.xlsx
2025,00000000,State,state,10702,1336501483,546303109,591265357,198933069,790198423,425308271,24261848,145403356,5061970,-19945888,526151233,8000000,53938324,,no,sources/state-dese/dese-circuit-breaker.xlsx
2025,01250000,Harvard,district,29,3401973,1499909,1419277,482787,1902064,1064458,,362090,,-49917,1243669,,132962,FY25 Prior Year Adjustment includes amount held back due to Reserve Relief payment made in FY24; Supplemental payment increased transport reimbursement to 75%.,yes,sources/state-dese/dese-circuit-breaker.xlsx
2025,01620000,Lunenburg,district,9,1198030,465489,583795,148746,732541,437847,,111560,,,508441,,40966,Supplemental payment increased transport reimbursement to 75%.,yes,sources/state-dese/dese-circuit-breaker.xlsx
2025,06100000,Ashburnham-Westminster,district,18,2444202,853397,1081397,509408,1590805,811048,,382056,,,1052810,,140294,Supplemental payment increased transport reimbursement to 75%.,yes,sources/state-dese/dese-circuit-breaker.xlsx
2025,06160000,Ayer Shirley School District,district,27,2767761,1370607,769360,627795,1397154,546787,40310,440276,40760,,906461,,161672,Supplemental payment increased transport reimbursement to 75%.,yes,sources/state-dese/dese-circuit-breaker.xlsx
2025,06730000,Groton-Dunstable,district,41,4724127,2120561,2265259,338306,2603566,1698945,,253730,,-54160,1805343,,93172,FY25 Prior Year Adjustment includes amount held back due to Reserve Relief payment made in FY24; Supplemental payment increased transport reimbursement to 75%.,yes,sources/state-dese/dese-circuit-breaker.xlsx
2025,07350000,North Middlesex,district,51,6843600,2637771,3108210,1097619,4205829,2386786,,823214,,,2907710,,302290,Supplemental payment increased transport reimbursement to 75%.,yes,sources/state-dese/dese-circuit-breaker.xlsx
2026,00000000,State,state,10759,1443824902,556847072,652792540,234185325,886977865,475014062,19440509,155277106,5464878,-288500,654908055,8730418,,,yes,sources/state-dese/dese-circuit-breaker.xlsx
2026,01250000,Harvard,district,25,2976751,1310475,1129741,536534,1666275,847306,,364250,,,1211556,,,,yes,sources/state-dese/dese-circuit-breaker.xlsx
2026,01620000,Lunenburg,district,9,1257225,471771,645532,139923,785455,484149,,94993,,,579142,,,,yes,sources/state-dese/dese-circuit-breaker.xlsx
2026,06100000,Ashburnham-Westminster,district,17,2731090,812495,1581472,337124,1918596,1186104,,228872,,,1414976,,,,yes,sources/state-dese/dese-circuit-breaker.xlsx
2026,06160000,Ayer Shirley School District,district,28,2917974,1441523,923639,552812,1476451,659060,44892,344074,45997,,1094023,,,,yes,sources/state-dese/dese-circuit-breaker.xlsx
2026,06730000,Groton-Dunstable,district,42,4979191,2175389,2493325,310477,2803802,1869994,,199406,16755,,2086155,,,,yes,sources/state-dese/dese-circuit-breaker.xlsx
2026,07350000,North Middlesex,district,59,8079096,3066512,3706220,1306364,5012584,2779665,,886884,,-55628,3610921,,,,yes,sources/state-dese/dese-circuit-breaker.xlsx
