town,year,line,amount,role,source_file,source_ref
Littleton,2023,Subtract Negative Free Cash Certified July 1 Prior Year,0.00,component,dls/free-cash-proof-littleton.xlsx,Sheet1!A11
Littleton,2023,Add Prior Year Free Cash Not Appropriated (CL#12),4367730.00,component,dls/free-cash-proof-littleton.xlsx,Sheet1!A12
Littleton,2023,Add Overlay Surplus Closed (CL#13),0.00,component,dls/free-cash-proof-littleton.xlsx,Sheet1!A13
Littleton,2023,Prior & Current Year Outstanding Receivables Total,691970.00,component,dls/free-cash-proof-littleton.xlsx,Sheet1!A14
Littleton,2023,Net Change in Adjustment to Free Cash,2630.00,component,dls/free-cash-proof-littleton.xlsx,Sheet1!A15
Littleton,2023,Other Adjustments,0.00,component,dls/free-cash-proof-littleton.xlsx,Sheet1!A16
Littleton,2023,"Identified Free Cash July 1,",9822817.00,identified_total,dls/free-cash-proof-littleton.xlsx,Sheet1!A17
Littleton,2024,Free Cash Certified Prior Year,10108103.00,prior_year_certified,dls/free-cash-proof-littleton.xlsx,Sheet1!A4
Littleton,2024,Current Year Calculation,12317002.00,certified,dls/free-cash-proof-littleton.xlsx,Sheet1!A5
Littleton,2024,Revenue Deficits,0.00,component,dls/free-cash-proof-littleton.xlsx,Sheet1!A6
Littleton,2024,Excess/Shortfall Local Receipts (CL#6),3746917.00,component,dls/free-cash-proof-littleton.xlsx,Sheet1!A7
Littleton,2024,Add Actual Revenue Received but not Estimated (CL#7),0.00,component,dls/free-cash-proof-littleton.xlsx,Sheet1!A8
Littleton,2024,Excess/Shortfall Cherry Sheet Receipts (CL#8),-159815.00,component,dls/free-cash-proof-littleton.xlsx,Sheet1!A9
Littleton,2024,Add Unencumbered/Unexpended Appropriations (CL#11),3156711.00,component,dls/free-cash-proof-littleton.xlsx,Sheet1!A10
Littleton,2024,Subtract Negative Free Cash Certified July 1 Prior Year,0.00,component,dls/free-cash-proof-littleton.xlsx,Sheet1!A11
Littleton,2024,Add Prior Year Free Cash Not Appropriated (CL#12),4612397.00,component,dls/free-cash-proof-littleton.xlsx,Sheet1!A12
Littleton,2024,Add Overlay Surplus Closed (CL#13),0.00,component,dls/free-cash-proof-littleton.xlsx,Sheet1!A13
Littleton,2024,Prior & Current Year Outstanding Receivables Total,-82820.00,component,dls/free-cash-proof-littleton.xlsx,Sheet1!A14
Littleton,2024,Net Change in Adjustment to Free Cash,-194913.00,component,dls/free-cash-proof-littleton.xlsx,Sheet1!A15
Littleton,2024,Other Adjustments,0.00,component,dls/free-cash-proof-littleton.xlsx,Sheet1!A16
Littleton,2024,"Identified Free Cash July 1,",11078477.00,identified_total,dls/free-cash-proof-littleton.xlsx,Sheet1!A17
Littleton,2025,Free Cash Certified Prior Year,12317002.00,prior_year_certified,dls/free-cash-proof-littleton.xlsx,Sheet1!A4
Littleton,2025,Current Year Calculation,11317633.00,certified,dls/free-cash-proof-littleton.xlsx,Sheet1!A5
Littleton,2025,Revenue Deficits,0.00,component,dls/free-cash-proof-littleton.xlsx,Sheet1!A6
Littleton,2025,Excess/Shortfall Local Receipts (CL#6),3680761.00,component,dls/free-cash-proof-littleton.xlsx,Sheet1!A7
Littleton,2025,Add Actual Revenue Received but not Estimated (CL#7),0.00,component,dls/free-cash-proof-littleton.xlsx,Sheet1!A8
Littleton,2025,Excess/Shortfall Cherry Sheet Receipts (CL#8),-121539.00,component,dls/free-cash-proof-littleton.xlsx,Sheet1!A9
Littleton,2025,Add Unencumbered/Unexpended Appropriations (CL#11),3292039.00,component,dls/free-cash-proof-littleton.xlsx,Sheet1!A10
Littleton,2025,Subtract Negative Free Cash Certified July 1 Prior Year,0.00,component,dls/free-cash-proof-littleton.xlsx,Sheet1!A11
Littleton,2025,Add Prior Year Free Cash Not Appropriated (CL#12),4810344.00,component,dls/free-cash-proof-littleton.xlsx,Sheet1!A12
Littleton,2025,Add Overlay Surplus Closed (CL#13),0.00,component,dls/free-cash-proof-littleton.xlsx,Sheet1!A13
Littleton,2025,Prior & Current Year Outstanding Receivables Total,163286.00,component,dls/free-cash-proof-littleton.xlsx,Sheet1!A14
Littleton,2025,Net Change in Adjustment to Free Cash,-1803422.00,component,dls/free-cash-proof-littleton.xlsx,Sheet1!A15
Littleton,2025,Other Adjustments,0.00,component,dls/free-cash-proof-littleton.xlsx,Sheet1!A16
Littleton,2025,"Identified Free Cash July 1,",10021469.00,identified_total,dls/free-cash-proof-littleton.xlsx,Sheet1!A17
Lunenburg,2021,Free Cash Certified Prior Year,1804185.00,prior_year_certified,dls/free-cash-proof-lunenburg.xlsx,Sheet1!A4
Lunenburg,2021,Current Year Calculation,2666962.00,certified,dls/free-cash-proof-lunenburg.xlsx,Sheet1!A5
Lunenburg,2021,Revenue Deficits,0.00,component,dls/free-cash-proof-lunenburg.xlsx,Sheet1!A6
Lunenburg,2021,Excess/Shortfall Local Receipts (CL#6),590516.00,component,dls/free-cash-proof-lunenburg.xlsx,Sheet1!A7
Lunenburg,2021,Add Actual Revenue Received but not Estimated (CL#7),0.00,component,dls/free-cash-proof-lunenburg.xlsx,Sheet1!A8
Lunenburg,2021,Excess/Shortfall Cherry Sheet Receipts (CL#8),240260.00,component,dls/free-cash-proof-lunenburg.xlsx,Sheet1!A9
Lunenburg,2021,Add Unencumbered/Unexpended Appropriations (CL#11),1377642.00,component,dls/free-cash-proof-lunenburg.xlsx,Sheet1!A10
Lunenburg,2021,Subtract Negative Free Cash Certified July 1 Prior Year,0.00,component,dls/free-cash-proof-lunenburg.xlsx,Sheet1!A11
Lunenburg,2021,Add Prior Year Free Cash Not Appropriated (CL#12),318581.00,component,dls/free-cash-proof-lunenburg.xlsx,Sheet1!A12
Lunenburg,2021,Add Overlay Surplus Closed (CL#13),0.00,component,dls/free-cash-proof-lunenburg.xlsx,Sheet1!A13
Lunenburg,2021,Prior & Current Year Outstanding Receivables Total,124672.00,component,dls/free-cash-proof-lunenburg.xlsx,Sheet1!A14
