video_id,board_slug,meeting_date,reason,url,seen_at
t8Q0z9qOY0s,select-board,2017-02-28,TranscriptsDisabled,https://www.youtube.com/watch?v=t8Q0z9qOY0s,2026-09-12T01:25:48Z
oYHtiTDlXU0,sewer-commission,2017-02-28,TranscriptsDisabled,https://www.youtube.com/watch?v=oYHtiTDlXU0,2026-09-23T00:37:49Z
nvqjLRWBG54,select-board,2017-02-28,TranscriptsDisabled,https://www.youtube.com/watch?v=nvqjLRWBG54,2026-09-12T01:26:34Z
-FuaMvhFnuU,sewer-commission,2017-02-28,TranscriptsDisabled,https://www.youtube.com/watch?v=-FuaMvhFnuU,2026-09-23T00:38:35Z
8KWBxauCHxs,planning-board,2017-02-27,TranscriptsDisabled,https://www.youtube.com/watch?v=8KWBxauCHxs,2026-09-23T00:39:21Z
ByD0v0J1F3Q,finance-committee,2017-02-23,TranscriptsDisabled,https://www.youtube.com/watch?v=ByD0v0J1F3Q,2026-09-11T22:18:49Z
skGFZEmM1sw,finance-committee,2017-02-16,TranscriptsDisabled,https://www.youtube.com/watch?v=skGFZEmM1sw,2026-09-11T22:19:35Z
4JTT5bvlwDk,school-committee,2017-02-15,TranscriptsDisabled,https://www.youtube.com/watch?v=4JTT5bvlwDk,2026-09-11T11:30:15Z
X-LccHsLiGE,select-board,2017-02-14,TranscriptsDisabled,https://www.youtube.com/watch?v=X-LccHsLiGE,2026-09-12T01:42:24Z
KCzQoeRppKs,school-committee,2017-02-01,TranscriptsDisabled,https://www.youtube.com/watch?v=KCzQoeRppKs,2026-09-11T11:31:01Z
mWBnkMT_jVw,sewer-commission,2017-01-31,TranscriptsDisabled,https://www.youtube.com/watch?v=mWBnkMT_jVw,2026-09-23T00:45:56Z
MD5vODDm39o,cemetery-commission,2017-01-31,TranscriptsDisabled,https://www.youtube.com/watch?v=MD5vODDm39o,2026-09-23T00:46:43Z
nphqtGdI-es,select-board,2017-01-24,TranscriptsDisabled,https://www.youtube.com/watch?v=nphqtGdI-es,2026-09-12T01:43:10Z
c5B4Mrrb1xw,conservation-commission,2017-01-18,TranscriptsDisabled,https://www.youtube.com/watch?v=c5B4Mrrb1xw,2026-09-23T00:47:29Z
9D6d_lxVCRc,school-committee,2017-01-18,TranscriptsDisabled,https://www.youtube.com/watch?v=9D6d_lxVCRc,2026-09-11T11:31:47Z
2Q1lKjb9hoo,select-board,2017-01-17,TranscriptsDisabled,https://www.youtube.com/watch?v=2Q1lKjb9hoo,2026-09-12T01:43:56Z
E6i2SO4IcrY,zoning-board-of-appeals,2017-01-11,TranscriptsDisabled,https://www.youtube.com/watch?v=E6i2SO4IcrY,2026-09-23T00:49:01Z
qkxk6pb-BaY,select-board,2017-01-10,TranscriptsDisabled,https://www.youtube.com/watch?v=qkxk6pb-BaY,2026-09-12T01:44:42Z
ZpoXshskWr4,planning-board,2017-01-09,TranscriptsDisabled,https://www.youtube.com/watch?v=ZpoXshskWr4,2026-09-23T00:49:48Z
dkScAzzI2DI,school-committee,2017-01-04,TranscriptsDisabled,https://www.youtube.com/watch?v=dkScAzzI2DI,2026-09-11T11:32:33Z
sNgauFV-wbY,school-committee,2016-12-21,TranscriptsDisabled,https://www.youtube.com/watch?v=sNgauFV-wbY,2026-09-11T11:33:19Z
VI8bJReL5Tw,conservation-commission,2016-12-21,TranscriptsDisabled,https://www.youtube.com/watch?v=VI8bJReL5Tw,2026-09-23T00:50:34Z
2w-vTTQqVPo,select-board,2016-12-20,TranscriptsDisabled,https://www.youtube.com/watch?v=2w-vTTQqVPo,2026-09-12T01:46:14Z
cBob1_xChek,zoning-board-of-appeals,2016-12-14,TranscriptsDisabled,https://www.youtube.com/watch?v=cBob1_xChek,2026-09-23T00:51:20Z
9tTZ765r_Qk,select-board,2016-12-13,TranscriptsDisabled,https://www.youtube.com/watch?v=9tTZ765r_Qk,2026-09-12T01:47:00Z
iJH_d3I5MoU,planning-board,2016-12-12,TranscriptsDisabled,https://www.youtube.com/watch?v=iJH_d3I5MoU,2026-09-23T00:52:52Z
wj7qfK9iAWc,school-committee,2016-12-07,TranscriptsDisabled,https://www.youtube.com/watch?v=wj7qfK9iAWc,2026-09-11T11:34:05Z
zP3ljE4qKO0,select-board,2016-12-06,TranscriptsDisabled,https://www.youtube.com/watch?v=zP3ljE4qKO0,2026-09-12T01:47:46Z
at3ZKNaP6EE,sewer-commission,2016-11-29,TranscriptsDisabled,https://www.youtube.com/watch?v=at3ZKNaP6EE,2026-09-23T00:53:38Z
p4wd3cr3-uQ,town-meeting,2016-11-28,TranscriptsDisabled,https://www.youtube.com/watch?v=p4wd3cr3-uQ,2026-09-23T00:54:24Z
kOo1uSGCDmY,select-board,2016-11-22,TranscriptsDisabled,https://www.youtube.com/watch?v=kOo1uSGCDmY,2026-09-12T01:48:32Z
tvOosCADOcs,sewer-commission,2016-11-17,TranscriptsDisabled,https://www.youtube.com/watch?v=tvOosCADOcs,2026-09-23T00:55:10Z
KzaRR629TN0,school-committee,2016-11-16,TranscriptsDisabled,https://www.youtube.com/watch?v=KzaRR629TN0,2026-09-11T11:34:51Z
-q9qo_ZDlqs,conservation-commission,2016-11-16,TranscriptsDisabled,https://www.youtube.com/watch?v=-q9qo_ZDlqs,2026-09-23T00:55:56Z
PfxUSqmW4zs,select-board,2016-11-15,TranscriptsDisabled,https://www.youtube.com/watch?v=PfxUSqmW4zs,2026-09-12T01:49:18Z
ftHWp1CWDzw,planning-board,2016-11-14,TranscriptsDisabled,https://www.youtube.com/watch?v=ftHWp1CWDzw,2026-09-23T00:56:42Z
vGjOcNHZ8YQ,finance-committee,2016-11-10,TranscriptsDisabled,https://www.youtube.com/watch?v=vGjOcNHZ8YQ,2026-09-11T22:20:21Z
xHREXiiAq0Y,select-board,2016-11-08,TranscriptsDisabled,https://www.youtube.com/watch?v=xHREXiiAq0Y,2026-09-12T01:50:04Z
e-vvQx8XdvI,school-committee,2016-11-02,TranscriptsDisabled,https://www.youtube.com/watch?v=e-vvQx8XdvI,2026-09-11T11:35:37Z
eMbiItjB9fI,select-board,2016-11-01,TranscriptsDisabled,https://www.youtube.com/watch?v=eMbiItjB9fI,2026-09-12T01:50:50Z
3kJqVHnCvrk,zoning-board-of-appeals,2016-10-26,TranscriptsDisabled,https://www.youtube.com/watch?v=3kJqVHnCvrk,2026-09-23T00:57:29Z
HT7xLBtukXk,select-board,2016-10-25,TranscriptsDisabled,https://www.youtube.com/watch?v=HT7xLBtukXk,2026-09-12T01:51:36Z
CiGco0tBQh4,planning-board,2016-10-24,TranscriptsDisabled,https://www.youtube.com/watch?v=CiGco0tBQh4,2026-09-23T00:58:16Z
PDPSGkIpTS0,conservation-commission,2016-10-19,TranscriptsDisabled,https://www.youtube.com/watch?v=PDPSGkIpTS0,2026-09-23T00:59:02Z
