fy,department,pages,people,form,reason,evidence
2019,Conservation Commission,63-63,,,no mention of staff on its own pages,
2020,Conservation Commission,56-56,,,no mention of staff on its own pages,
2021,Conservation Commission,55-55,,,no mention of staff on its own pages,
2022,Conservation Commission,56-56,,,"mentions staff, states no number","During the year of 2022, change of administration occurred along with an additional staff member. In the month of May"
2024,Conservation Commission,44-45,,,no mention of staff on its own pages,
2025,Conservation Commission,47-48,,,no mention of staff on its own pages,
2011,Council on Aging,29-30,7,a named staff list,,"COUNCIL ON AGING Doreen C. Noble, Director The mission of the Council on Aging is to advocate for the improved quality of life for all seniors through supportive services, programs and education. Coun"
2014,Council on Aging,49-50,9,a named staff list,,"COUNCIL ON AGING The mission of the Council on Aging is to advocate for the improved quality of life for all seniors through supportive services, programs and education. Councils on Aging were establi"
2015,Council on Aging,53-53,10,a named staff list,,"The FY15 Council on Aging staff consisted of Doreen C. Noble, Director; Susan Doherty, Administrative Assistant and Transportation; Faith A. Anderson, Outreach Coordinator; Joanne Brazell, Ruth Swieci"
2016,Council on Aging,55-56,11,a named staff list,,"The FY16 Council on Aging staff consisted of Susan Doherty, Director; Amanda Koeck, Administrative Assistant and Transportation; Faith A. Anderson, Outreach Coordinator; Joanne Brazell, Meal Site Coor"
2017,Council on Aging,53-53,8,a named staff list,,"The Council on Aging staff consisted of Susan Doherty, Director; Amanda Koeck, Administrative Assistant and Transportation; Faith A. Anderson, Outreach Coordinator; Joanne Brazell, Meal Site Coordinat"
2018,Council on Aging,60-60,8,a named staff list,,"The FY18 Council on Aging staff consisted of Susan Doherty, Director; Amanda Koeck, Administrative Assistant and Transportation; Faith A. Anderson, Outreach Coordinator; Joanne Brazell, Meal Site Coor"
2019,Council on Aging,64-64,9,a named staff list,,"The FY 19 Council on Aging staff consisted of Susan Doherty, Director; Amanda Koeck, Administrative Assistant and Transportation; Pauline Roy, Outreach Coordinator; Sandra Ricci, Meal Site Coordinator"
2020,Council on Aging,57-58,9,a named staff list,,"The FY20 Council on Aging staff consisted of Susan Doherty, Director; Amanda Koeck, Administrative Assistant and Transportation; Pauline Roy, Outreach Coordinator; Sandra Ricci, Meal Site Coordinator;"
2021,Council on Aging,56-56,,,"mentions staff, states no number","In closing, I want to recognize the staff and volunteers at the Eagle House Senior Community Center for their"
2022,Council on Aging,57-57,10,a named staff list,,"The FY22 Council on Aging staff consisted of Susan Doherty, Director; Amanda Koeck, Administrative Assistant and Transportation; Pauline Roy, Outreach Coordinator; Sandra Ricci, Meal Site Coordinator;"
2024,Council on Aging,46-47,10,a named staff list,,"The FY24 Council on Aging staff consisted of Susan Doherty, Director; Michele Beauvais, Adminis- trative Assistant and Transportation; Pauline Roy, Outreach Coordinator; Pamela Myllykangas, Meal Site "
2025,Council on Aging,47-48,11,a named staff list,,"The FY25 Council on Aging staff consisted of Susan Doherty/Debra Goodsell, Director; Michele Beauvais, Administrative Assistant and Transportation; Pauline Roy, Outreach Coordinator; Pamela Myllykanga"
2015,Cultural Council,54-54,,,no mention of staff on its own pages,
2016,Cultural Council,57-58,,,no mention of staff on its own pages,
2017,Cultural Council,54-54,,,no mention of staff on its own pages,
2021,Cultural Council,57-57,,,no mention of staff on its own pages,
2022,Cultural Council,58-58,,,no mention of staff on its own pages,
2024,Cultural Council,47-48,,,no mention of staff on its own pages,
2011,Department of Public Works,15-25,,,"mentions staff, states no number",The Central Massachusetts Mosquito Control Project (CMCP) currently provides its services to 39 cities and towns throughout Middlesex and Worcester Counties. The Project's headquarters is located at 1
2013,Department of Public Works,20-22,,,"mentions staff, states no number",Maintenance services into one department organizing and scheduling personnel and equipment to best serve the residents of the
2014,Department of Public Works,51-55,,,"mentions staff, states no number",department organizing and scheduling personnel and equipment to best serve the residents of the
2015,Department of Public Works,55-59,,,"mentions staff, states no number",scheduling personnel and equipment to best serve the residents of the community through the effective
2016,Department of Public Works,59-63,,,"mentions staff, states no number","Facilities divisions, and Vehicle Maintenance services into one department organizing and scheduling personnel"
2017,Department of Public Works,55-58,,,"mentions staff, states no number","Facilities divisions, and Vehicle Maintenance services into one department organizing and scheduling personnel"
2019,Department of Public Works,65-70,,,"mentions staff, states no number",and fellow Town employees as we persevere.
2020,Department of Public Works,59-63,,,"mentions staff, states no number","Departments, and Vehicle Maintenance services into one department organizing and scheduling personnel and"
2021,Department of Public Works,58-62,,,"mentions staff, states no number",Every employee is essential. Those at the top are support people. The real work is done by the men and
2022,Department of Public Works,59-62,,,"mentions staff, states no number","and the Recreation Director leaving for other employment opportunities and the hiring of a new DPW Director, William"
2024,Department of Public Works,49-52,14,"an establishment, post by post",,"The Department maintains roads, bridges, sewer infrastructure, and provides services essential to the quality of life and welfare of the citizens of Lunenburg. The staff consists of one Director, one "
2025,Department of Public Works,48-52,14,"an establishment, post by post",,"Our staff includes one Director, one Executive Assistant (shared with Facilities), one Highway Superintendent, three Heavy Equipment Operators, two Driver/Laborers, one Mechanic, one Cemetery Superint"
2013,Director of Facilities & Grounds/ Schools,33-33,,,no mention of staff on its own pages,
2013,Elections Town/ State,90-91,,,"mentions staff, states no number","""Step 1 Defined as the first fiscal year of employment (0 - 12 months)"
2011,Elections Town/State,80-81,,,"mentions staff, states no number",expended by the Lunenburg School Committee without further appropriation for the sole purpose of paying personnel
2014,FY 2014 Receipts 22 General Fund Expenditures Chart,23-23,,,no mention of staff on its own pages,
2016,FY 2016 Receipts 23 General Fund Expenditures Chart,24-24,,,no mention of staff on its own pages,
2017,FY 2017 Receipts 22 General Fund Expenditures Chart,23-23,,,no mention of staff on its own pages,
2018,FY 2018 Receipts 28 General Fund Expenditures Chart,29-29,,,no mention of staff on its own pages,
2019,FY 2019 Receipts 28 General Fund Expenditures Chart,31-31,,,no mention of staff on its own pages,
2020,FY 2020 Receipts 24 General Fund Expenditures Chart,25-25,,,no mention of staff on its own pages,
2021,FY 2021 Receipts 24 General Fund Expenditures Chart,26-26,,,no mention of staff on its own pages,
2022,FY 2022 Receipts 26 General Fund Expenditures Chart,27-27,,,no mention of staff on its own pages,
2023,FY 2022 Receipts 26 General Fund Expenditures Chart,27-27,,,no mention of staff on its own pages,
2016,Finance Committee,64-65,,,"mentions staff, states no number",Retirement and health insurance consume an ever increasing portion of the total budget. Town employees
2017,Finance Committee,59-60,,,"mentions staff, states no number","OPEB Stabilization Fund ($100,000) for future liability for post-employment employee"
2019,Finance Committee,71-72,,,"mentions staff, states no number",would fund targeted additions in staff in response to the increased need for Town services resulting from
2020,Finance Committee,64-65,,,"mentions staff, states no number","funded, the Town has taken on some facilities expenses for the Library and some kitchen staff personnel"
2021,Finance Committee,63-64,,,"mentions staff, states no number","• This year's DPW budget includes an additional facilities staff member and part-time, seasonal"
2022,Finance Committee,63-64,,,"mentions staff, states no number",An area of concern for the Finance Committee are several personnel positions that the School District is funding through
2024,Finance Committee,53-54,,,"mentions staff, states no number",ways to maintain the new staff as the last of the ESSER funding is required to be spent by the end of September
2025,Finance Committee,52-55,,,"mentions staff, states no number",Equivalents (39 employees) at the time of writing this report.
2011,Fire Department,21-22,,,"mentions staff, states no number",obligated to address weekend and overnight coverage in the station for the safety of our community. Currently we staff the
2013,Fire Department,24-26,,,"mentions staff, states no number",Fire Department staffing today is 5 Career Staff and 45 On Call Firefighters and Emergency Medical Technicians. The Station is
2014,Fire Department,74-84,,,"mentions staff, states no number",Fire Department staffing today is five career staff and forty- forty-five on call firefighters and
2015,Fire Department,81-83,,,"mentions staff, states no number",Fire Department staffing today is five Career Staff and forty to forty-five On Call Firefighters and Emergency
2017,Fire Department,79-81,45,career staff plus the low end of the on-call range,,"In 2017 your Fire Department responded to 2107 calls for service, broken down as follows: Fires & Hazardous Conditions 514 Emergency Medical 1022 Inspections 587 Other 20 Fire Department staffing as o"
2018,Fire Department,96-98,47,career staff plus the low end of the on-call range,,"Current Fire Department staffing is now 7 Career and 40-45 On Call Firefighters and Emergen- cy Medical Technicians, plus 1 full time Administrative Assistant/EMS Coordinator. The Station is EMT Monda"
2020,Fire Department,86-88,47,career staff plus the low end of the on-call range,,"Current Fire Department staffing is now 7 Career and 40-45 On Call Firefighters and Emergency Medical Technicians, plus 1 full-time Administrative Assistant/EMS Coordinator. The station is manned 7 da"
2021,Fire Department,86-88,48,career staff plus the low end of the on-call range,,"Current Fire Department staffing is now eight Career and 40-45 On Call Firefighters and Emergency Medical Technicians, plus one full time Administrative Assistant/EMS Coordinator. The Station is manne"
2022,Fire Department,84-85,40,career staff plus the low end of the on-call range,,"The Department consists of 10 Career and 30-35 On Call/Per Diem Firefighters and Emergency Medical Technicians, plus a full time Administrative Assistant/EMS Coordinator. Three Firefighter/EMT or Para"
2023,Fire Department,92-94,40,career staff plus the low end of the on-call range,,"The Department consists of 10 Career and 30-35 On Call/Per Diem Firefighters and Emergency Medical Technicians, plus a full time Administrative Assistant/EMS Coordinator. Three Firefighter/EMT or Para"
2024,Fire Department,76-78,40,career staff plus the low end of the on-call range,,"The Department consists of 10 Career and 30-35 On Call/Per Diem Firefighters and Emergency Medical Technicians, lus a full-time Administrative Assistant. The Station is always staffed by three Firefig"
2025,Fire Department,75-78,40,career staff plus the low end of the on-call range,,"The Department consists of 10 Career and 30-35 On Call/Per Diem Firefighters and Emergency Medical Technicians, plus a full-time Administrative Assistant. The Station is staffed by three Firefighter/E"
2016,Fire Department ...o,85-87,,,"mentions staff, states no number",combination of full-time personnel in conjunction with 72 hours per week of per diem coverage. The per
2016,Fiscal Year 2016 Omnibus Budget,174-176,,,no mention of staff on its own pages,
2017,Fiscal Year 2017 Omnibus Budget,168-169,,,no mention of staff on its own pages,
