fy,held_as,amount,column,page,document
2022,Touchstone Library Trust Funds,36224.81,as printed,40,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv
2022,Unibank - Park,73167.88,as printed,40,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv
2022,Unibank ARPA CLFRF Fund,1754181.32,as printed,40,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv
2022,Unibank CD,213529.41,as printed,40,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv
2022,Unibank Investment,1109026.59,as printed,40,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv
2022,Unibank Linde Sacksen Scholarship Fund,1523.6,as printed,40,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv
2022,Unibank Sewer I/I Stabilization,21.13,as printed,40,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv
2022,Unibank Sewer Reserve Capacity Stabilization,47240.89,as printed,40,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv
2022,Unibank State Depository,3666206.77,as printed,40,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv
2021,Bank Hometown Investment,527034.67,as printed,39,sources/town-budget/ocr/4128-fy-2021-annual-town-report.tsv
2021,Bartholomew - OPEB,500287.39,as printed,39,sources/town-budget/ocr/4128-fy-2021-annual-town-report.tsv
2021,Bartholomew Stabilization Fund,2447755.21,as printed,39,sources/town-budget/ocr/4128-fy-2021-annual-town-report.tsv
2021,Bartholomew-Sewer Capital Reserve Stabilization,97186.08,as printed,39,sources/town-budget/ocr/4128-fy-2021-annual-town-report.tsv
2021,Batholomew Trust Funds,918529.67,as printed,39,sources/town-budget/ocr/4128-fy-2021-annual-town-report.tsv
2021,Century Bank Investment,163390.74,as printed,39,sources/town-budget/ocr/4128-fy-2021-annual-town-report.tsv
2021,Century Bank-Security Street,6613.72,as printed,39,sources/town-budget/ocr/4128-fy-2021-annual-town-report.tsv
2021,Eastern Bank Investment,91499.07,as printed,39,sources/town-budget/ocr/4128-fy-2021-annual-town-report.tsv
2021,Eastern Bank-School Activity Fees,152185.49,as printed,39,sources/town-budget/ocr/4128-fy-2021-annual-town-report.tsv
2021,Enterprise Bank Investment,160503.31,as printed,39,sources/town-budget/ocr/4128-fy-2021-annual-town-report.tsv
2021,Fidelity Bank -EOCD Grant,90761.49,as printed,39,sources/town-budget/ocr/4128-fy-2021-annual-town-report.tsv
2021,Fidelity Bank Investment,1379700.63,as printed,39,sources/town-budget/ocr/4128-fy-2021-annual-town-report.tsv
2021,Fidelity Bank-ARRA EECBG Grant,298.24,as printed,39,sources/town-budget/ocr/4128-fy-2021-annual-town-report.tsv
2021,Fidelity Bank-Senior Grant,1690.13,as printed,39,sources/town-budget/ocr/4128-fy-2021-annual-town-report.tsv
2021,Fidelity Bank-Sewer Hook-Up,20.13,as printed,39,sources/town-budget/ocr/4128-fy-2021-annual-town-report.tsv
2021,Harbor One Bank Investment,2169389.35,as printed,39,sources/town-budget/ocr/4128-fy-2021-annual-town-report.tsv
2021,MMDT Arts Lottery,10890.03,as printed,39,sources/town-budget/ocr/4128-fy-2021-annual-town-report.tsv
2021,MMDT Highway Bond Issue,2873.25,as printed,39,sources/town-budget/ocr/4128-fy-2021-annual-town-report.tsv
2021,MMDT Playground Fund,81.15,as printed,39,sources/town-budget/ocr/4128-fy-2021-annual-town-report.tsv
2021,Main Street Bank Investments,945482.74,as printed,39,sources/town-budget/ocr/4128-fy-2021-annual-town-report.tsv
2021,Main Street Bank-PEG Access Enterprise,865720.18,as printed,39,sources/town-budget/ocr/4128-fy-2021-annual-town-report.tsv
2021,Main Street Bank-Sewer Enterprise,1486584.81,as printed,39,sources/town-budget/ocr/4128-fy-2021-annual-town-report.tsv
2021,Main Street Bank-Trash Enterprise,78005.13,as printed,39,sources/town-budget/ocr/4128-fy-2021-annual-town-report.tsv
2021,Main Street Bank-Vehicle/ Equipment Stabilization,1201170.65,as printed,39,sources/town-budget/ocr/4128-fy-2021-annual-town-report.tsv
2021,Main Street Bank-Water Enterprise,58393.65,as printed,39,sources/town-budget/ocr/4128-fy-2021-annual-town-report.tsv
2021,Mass Municipal Depository Trust (MMDT) Investment,231491.16,as printed,39,sources/town-budget/ocr/4128-fy-2021-annual-town-report.tsv
2021,Newburyport Bank-Investment,2299222.29,as printed,39,sources/town-budget/ocr/4128-fy-2021-annual-town-report.tsv
2021,Petty Cash / Certain Departments,4200.0,as printed,39,sources/town-budget/ocr/4128-fy-2021-annual-town-report.tsv
2021,TD BankNorth Investment,56911.02,as printed,39,sources/town-budget/ocr/4128-fy-2021-annual-town-report.tsv
2021,TD BankNorth Zoning Stabilization,230748.05,as printed,39,sources/town-budget/ocr/4128-fy-2021-annual-town-report.tsv
2021,Touchstone Library Trust Funds,41794.46,as printed,39,sources/town-budget/ocr/4128-fy-2021-annual-town-report.tsv
2021,Unibank - Park,50812.93,as printed,39,sources/town-budget/ocr/4128-fy-2021-annual-town-report.tsv
2021,Unibank ARPA CLFRF Fund,614195.58,as printed,39,sources/town-budget/ocr/4128-fy-2021-annual-town-report.tsv
2021,Unibank CD,213498.44,as printed,39,sources/town-budget/ocr/4128-fy-2021-annual-town-report.tsv
2021,Unibank Investment,415595.76,as printed,39,sources/town-budget/ocr/4128-fy-2021-annual-town-report.tsv
2021,Unibank Linde Sacksen Scholarship Fund,1823.41,as printed,39,sources/town-budget/ocr/4128-fy-2021-annual-town-report.tsv
2021,Unibank Sewer I/I Stabilization,21.13,as printed,39,sources/town-budget/ocr/4128-fy-2021-annual-town-report.tsv
2021,Unibank Sewer Reserve Capacity Stabilization,68198.42,as printed,39,sources/town-budget/ocr/4128-fy-2021-annual-town-report.tsv
2021,Unibank State Depository,2893196.44,as printed,39,sources/town-budget/ocr/4128-fy-2021-annual-town-report.tsv
2020,Bank Hometown Investment,525677.42,as printed,39,sources/town-budget/ocr/4127-fy-2020-annual-town-report.tsv
2020,Bartholomew Stabilization Fund,1978347.74,as printed,39,sources/town-budget/ocr/4127-fy-2020-annual-town-report.tsv
2020,Bartholomew-Sewer Capital Reserve Stabilization,85260.72,as printed,39,sources/town-budget/ocr/4127-fy-2020-annual-town-report.tsv
2020,Batholomew Trust Funds,875766.72,as printed,39,sources/town-budget/ocr/4127-fy-2020-annual-town-report.tsv
2020,Century Bank Investment,162812.1,as printed,39,sources/town-budget/ocr/4127-fy-2020-annual-town-report.tsv
2020,Century Bank-Security Street,6590.78,as printed,39,sources/town-budget/ocr/4127-fy-2020-annual-town-report.tsv
2020,Eastern Bank Investment,71990.98,as printed,39,sources/town-budget/ocr/4127-fy-2020-annual-town-report.tsv
2020,Eastern Bank-School Activity Fees,171538.66,as printed,39,sources/town-budget/ocr/4127-fy-2020-annual-town-report.tsv
2020,Enterprise Bank Investment,160450.17,as printed,39,sources/town-budget/ocr/4127-fy-2020-annual-town-report.tsv
2020,Fidelity Bank -EOCD Grant,90669.16,as printed,39,sources/town-budget/ocr/4127-fy-2020-annual-town-report.tsv
2020,Fidelity Bank Investment,1284537.3,as printed,39,sources/town-budget/ocr/4127-fy-2020-annual-town-report.tsv
2020,Fidelity Bank-ARRA EECBG Grant,298.18,as printed,39,sources/town-budget/ocr/4127-fy-2020-annual-town-report.tsv
2020,Fidelity Bank-Senior Grant,1689.58,as printed,39,sources/town-budget/ocr/4127-fy-2020-annual-town-report.tsv
2020,Fidelity Bank-Sewer Hook-Up,20.13,as printed,39,sources/town-budget/ocr/4127-fy-2020-annual-town-report.tsv
2020,Harbor One Bank Investment,1340647.93,as printed,39,sources/town-budget/ocr/4127-fy-2020-annual-town-report.tsv
2020,MMDT Arts Lottery,11926.8,as printed,39,sources/town-budget/ocr/4127-fy-2020-annual-town-report.tsv
2020,MMDT Highway Bond Issue,2868.09,as printed,39,sources/town-budget/ocr/4127-fy-2020-annual-town-report.tsv
2020,MMDT Playground Fund,81.15,as printed,39,sources/town-budget/ocr/4127-fy-2020-annual-town-report.tsv
2020,Main Street Bank Investments,1158855.47,as printed,39,sources/town-budget/ocr/4127-fy-2020-annual-town-report.tsv
2020,Main Street Bank-PEG Access Enterprise,683130.44,as printed,39,sources/town-budget/ocr/4127-fy-2020-annual-town-report.tsv
2020,Main Street Bank-Sewer Enterprise,1417403.94,as printed,39,sources/town-budget/ocr/4127-fy-2020-annual-town-report.tsv
2020,Main Street Bank-Trash Enterprise,47473.72,as printed,39,sources/town-budget/ocr/4127-fy-2020-annual-town-report.tsv
2020,Main Street Bank-Vehicle/Equipment Stabilization,945669.29,as printed,39,sources/town-budget/ocr/4127-fy-2020-annual-town-report.tsv
2020,Main Street Bank-Water Enterprise,48595.47,as printed,39,sources/town-budget/ocr/4127-fy-2020-annual-town-report.tsv
