dataset,edition,report_fy,document,page,copy,plan_fiscal_year,line_no,project,cost,cumulative,printed_total,columns_as_printed,status,reconciliation
capital_plan,FY2019,2019,4126-fy-2019-annual-town-report.pdf,107,committee report,2020,3,"PD17-01-B Police Police Vehicle, 1 unmarked replacement Vehicle",48000.0,,1684100.0,"[Total Capital Plan 1,684,100.00",checked,"14 project rows sum to 1,684,100.00 = the total the page prints"
capital_plan,FY2019,2019,4126-fy-2019-annual-town-report.pdf,107,committee report,2020,4,FD16-15 Fire Engine 4 Replacement (1995) Vehicle,685000.0,,1684100.0,"[Total Capital Plan 1,684,100.00",checked,"14 project rows sum to 1,684,100.00 = the total the page prints"
capital_plan,FY2019,2019,4126-fy-2019-annual-town-report.pdf,107,committee report,2020,5,LPS19-01 Schools PRI/THES Wifi Upgrade,19600.0,,1684100.0,"[Total Capital Plan 1,684,100.00",checked,"14 project rows sum to 1,684,100.00 = the total the page prints"
capital_plan,FY2019,2019,4126-fy-2019-annual-town-report.pdf,107,committee report,2020,6,GG19-01 Town Clerk Voting Machines,26500.0,,1684100.0,"[Total Capital Plan 1,684,100.00",checked,"14 project rows sum to 1,684,100.00 = the total the page prints"
capital_plan,FY2019,2019,4126-fy-2019-annual-town-report.pdf,107,committee report,2020,7,"LPS16-19-B Schools THMS, Asbestos Abatement/ Ceiling Replacement",162000.0,,1684100.0,"[Total Capital Plan 1,684,100.00",checked,"14 project rows sum to 1,684,100.00 = the total the page prints"
capital_plan,FY2019,2019,4126-fy-2019-annual-town-report.pdf,107,committee report,2020,8,FM17-10B DPW Fuel Tanks at DPW,220000.0,,1684100.0,"[Total Capital Plan 1,684,100.00",checked,"14 project rows sum to 1,684,100.00 = the total the page prints"
capital_plan,FY2019,2019,4126-fy-2019-annual-town-report.pdf,107,committee report,2020,9,PD18-02 Police Patrol Rifles and Shotguns,16000.0,,1684100.0,"[Total Capital Plan 1,684,100.00",checked,"14 project rows sum to 1,684,100.00 = the total the page prints"
capital_plan,FY2019,2019,4126-fy-2019-annual-town-report.pdf,107,committee report,2020,10,GG19-02 ¡Planning,50000.0,,1684100.0,"[Total Capital Plan 1,684,100.00",checked,"14 project rows sum to 1,684,100.00 = the total the page prints"
capital_plan,FY2019,2019,4126-fy-2019-annual-town-report.pdf,107,committee report,2020,11,"FD17-02 Fire Rescue 2, Replacement 19R2 (2008)",310000.0,,1684100.0,"[Total Capital Plan 1,684,100.00",checked,"14 project rows sum to 1,684,100.00 = the total the page prints"
capital_plan,FY2019,2019,4126-fy-2019-annual-town-report.pdf,107,committee report,2020,12,"12FM16-15 DPW Teen Center, Paint Exterior",12000.0,,1684100.0,"[Total Capital Plan 1,684,100.00",checked,"14 project rows sum to 1,684,100.00 = the total the page prints"
capital_plan,FY2019,2019,4126-fy-2019-annual-town-report.pdf,107,committee report,2020,13,FM19-01 DPW Parks- Wallis Park Bball Court and Fence,36000.0,,1684100.0,"[Total Capital Plan 1,684,100.00",checked,"14 project rows sum to 1,684,100.00 = the total the page prints"
capital_plan,FY2019,2019,4126-fy-2019-annual-town-report.pdf,107,committee report,2020,14,"FM16-01 DPW PSB, Bidg Automation System",16000.0,,1684100.0,"[Total Capital Plan 1,684,100.00",checked,"14 project rows sum to 1,684,100.00 = the total the page prints"
