fy,page,order,post,kind,section,stated_members,person,vacancies,term_expires,note,size_check
2025,16,148,LUNENBURG MUNICIPAL BUILDING DESIGN COMMITTEE,officer,appointed,,Chris Ruth-Town Facility Manager,0,,,no check
2025,16,149,MART ADVISORY BOARD,officer,appointed,,Glenn McLeod,0,,,no check
2025,16,150,MONTACHUSETT JOINT TRANSPORTATION COMMITTEE,officer,appointed,,,1,,Vacant-Planning Board Representative,no check
2025,16,151,MONTACHUSETT JOINT TRANSPORTATION COMMITTEE,officer,appointed,,,1,,Vacant-Select Board Representative,no check
2025,16,152,MONTACHUSETT METROPOLITAN PLANNING ORGANIZATION,officer,appointed,,Caesar Nuzzolo-Select Board Representative,0,,,no check
2025,16,153,PERSONNEL COMMITTEE,board seat,appointed,5,,5,,5 Vacancies,checked
2025,16,154,POLICE CHIEF,officer,appointed,,Jeffrey Thibodeau,0,,,no check
2025,16,155,POUND KEEPER,officer,appointed,,,1,,Vacant,no check
2025,17,156,PUBLIC ACCESS CABLE COMMITTEE,board seat,appointed,5,Steve Archambault-202 /,0,,,checked
2025,17,157,PUBLIC ACCESS CABLE COMMITTEE,board seat,appointed,5,Faith Beall,0,2027,,checked
2025,17,158,PUBLIC ACCESS CABLE COMMITTEE,board seat,appointed,5,Steven Walker,0,2026,,checked
2025,17,159,PUBLIC ACCESS CABLE COMMITTEE,board seat,appointed,5,Brian Vienneau,0,2028,,checked
2025,17,160,PUBLIC ACCESS CABLE COMMITTEE,board seat,appointed,5,,1,,Vacancy-term ending 2026,checked
2025,17,161,PUBLIC RECORDS ACCESS OFFICERS,officer,appointed,,General Requests-Jennifer Warren-Dyment-Supervisor,0,,,no check
2025,17,162,PUBLIC RECORDS ACCESS OFFICERS,officer,appointed,,Police Department-Lt. Jeffrey Thibodeau,0,,,no check
2025,17,163,PUBLIC RECORDS ACCESS OFFICERS,officer,appointed,,"Fire Dept.-Karen Weller, Admin. Asst./EMS Coordinator",0,,,no check
2025,17,164,PUBLIC RECORDS ACCESS OFFICERS,officer,appointed,,School Dept.-Liz Petersen,0,,,no check
2025,17,165,PUBLIC RECORDS ACCESS OFFICERS,officer,appointed,,"""RACES"" (Radio Amateur Civil Emergency Service)",0,,,no check
2025,17,166,PUBLIC RECORDS ACCESS OFFICERS,officer,appointed,,Ralph Swick- Control Operator,0,,,no check
2025,17,167,PUBLIC RECORDS ACCESS OFFICERS,officer,appointed,,Brian L. LeBlanc-Asst. Radio Operator,0,,,no check
2025,17,168,PUBLIC RECORDS ACCESS OFFICERS,officer,appointed,,"Jeanine Swick, Member",0,,,no check
2025,17,169,RECREATION DIRECTOR,officer,appointed,,,1,,Vacant,no check
2025,17,170,STORM WATER TASK FORCE,board seat,appointed,5,John Beale-Member at Large,0,,,checked
2025,17,171,STORM WATER TASK FORCE,board seat,appointed,5,Renee Emkey-Select Board Representative,0,,,checked
2025,17,172,STORM WATER TASK FORCE,board seat,appointed,5,Mark Muzzi-Member at Large,0,,,checked
2025,17,173,STORM WATER TASK FORCE,board seat,appointed,5,Timothy Willsmer-Planning Board Representative,0,,,checked
2025,17,174,STORM WATER TASK FORCE,board seat,appointed,5,Jenny Pewtherer-Conservation Commission,0,,,checked
2025,17,175,TAX COLLECTOR/TREASURER/TAX CUSTODIAN,officer,appointed,,Myleen Mallari,0,,,no check
2025,17,176,ASSISTANT TAX COLLECTOR/TREASURER,officer,appointed,,Susan Murchie,0,,,no check
2025,17,177,ASSISTANT TOWN CLERK,officer,appointed,,Ellen Griffin,0,,,no check
2025,17,178,TOWN COUNSEL,officer,appointed,,"Mead, Talerman & Costa, LLC",0,,,no check
2025,17,179,TOWN COUNSEL,officer,appointed,,Mirick O'Connell,0,,,no check
2025,17,180,TOWN CLOCKWINDERS,officer,appointed,,Tom Alonzo,0,,,no check
2025,17,181,TOWN CLOCKWINDERS,officer,appointed,,Louis Franco,0,,,no check
2025,17,182,TOWN CLOCKWINDERS,officer,appointed,,Michael Kidney,0,,,no check
2025,17,183,TOWN CLOCKWINDERS,officer,appointed,,William Tyler,0,,,no check
2025,17,184,TOWN CLOCKWINDERS,officer,appointed,,George Martin,0,,,no check
2025,18,185,TREE WARDEN,officer,appointed,,William Bernard,0,,,no check
2025,18,186,VETERANS SERVICES AGENT,officer,appointed,,Michelle Durkee,0,,,no check
2025,18,187,ZONING BOARD OF APPEALS,board seat,appointed,5,James Besarkarski,0,2026,,checked
2025,18,188,ZONING BOARD OF APPEALS,board seat,appointed,5,Patrick Callahan,0,2027,,checked
2025,18,189,ZONING BOARD OF APPEALS,board seat,appointed,5,Alfred Gravelle,0,2028,,checked
2025,18,190,ZONING BOARD OF APPEALS,board seat,appointed,5,David Blatt,0,2027,,checked
2025,18,191,ZONING BOARD OF APPEALS,board seat,appointed,5,,1,,Vacancy-term ending 2026,checked
2025,18,192,Associate Members,board seat,appointed,,Anthony Nicastro,0,2028,,no check
2025,18,193,Associate Members,board seat,appointed,,Donald Gurney,0,2028,,no check
2025,18,194,Associate Members,board seat,appointed,,,1,,Vacancy-term ending 2026,no check
