===SHEET Salaries===
,,FY25,FY26,%,,,,,,,,,,,,,,,,,,,,,,,FY23 Level,FY23 Step,FY23 Hourly Rate,,FY23 Degree Advancement,FY23 Annual Salary,FY23 Budgeted Salary,FY23 Budgeted Personnel Budget
,"DESCRIPTION, SALARIES",Budgeted,Proposed,increase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Admin Tech Contracted Services,190327,205145,0.078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Admin Tech General Supplies,6000,3000,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000 - Instructional Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mileage District  Reimbursements,1000,500,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2110 - Special Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Special Ed Genrl Office Suppls,800,800,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Special Ed Legal Services,17000,25000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Specl Ed Computer Contracted Services,20758,6000,-0.711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Specl Ed Collabrtv Admin Fees,2500,2500,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Special Ed Travel Expenses,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ELL General Supplies,8000,8000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,504 Program General Supplies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ACE General Supplies,,6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2110 - System Curriculum Adop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Curriculum Adoption/System,40000,40000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2210 - P.S. Principals Office,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,P.S. Office Supplies & Matrls,6607,3703,-0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2210 - E.S. Principals Office,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E.S. Secretarial Contracted Services,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E.S. Office Supplies & Matrls,5290,3450,-0.348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2210 - M.S. Principals Office,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M.S. Secretarial Contracted Services,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M.S. Office Supplies & Matrls,4300,2518,-0.414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2210 - H.S. Principals Office,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,H.S. Secretarial Contracted Services,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,H.S. Office Supplies & Matrls,7200,2938,-0.592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,H.S. Graduation Expenses,10000,10378,0.038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,H.S. Accreditation,4500,4700,0.044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,H.S. Memberships,0,2400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
