"sy","dist_code","dist_name","ind_cat","ind_subcat","ind_value","ind_value_type"
"2018","01620000","Lunenburg","Expenditures Per Pupil","Insurance, Retirement Programs and Other","2756.0","Amount"
"2018","01620000","Lunenburg","Expenditures Per Pupil","Operations and Maintenance","994.0","Amount"
"2018","01620000","Lunenburg","Expenditures Per Pupil","Other Teaching Services","1355.0","Amount"
"2018","01620000","Lunenburg","Expenditures Per Pupil","Professional Development","50.0","Amount"
"2018","01620000","Lunenburg","Expenditures Per Pupil","Pupil Services","1215.0","Amount"
"2018","01620000","Lunenburg","Expenditures Per Pupil","Teachers","5270.0","Amount"
"2018","01620000","Lunenburg","Expenditures Per Pupil","Total Expenditures","13828.0","Amount"
"2018","01620000","Lunenburg","Expenditures Per Pupil","Total In-District Expenditures","13684.0","Amount"
"2017","01620000","Lunenburg","Student Enrollment","In-District FTE Pupils","1619.3","Count"
"2017","01620000","Lunenburg","Student Enrollment","Out-of-District FTE Pupils","161.8","Count"
"2017","01620000","Lunenburg","Student Enrollment","Total FTE Pupils","1781.1","Count"
"2017","01620000","Lunenburg","Student Demographics","English learner % Headcount","1.6","Percent"
"2017","01620000","Lunenburg","Student Demographics","Low-Income % Headcount","16.3","Percent"
"2017","01620000","Lunenburg","Student Demographics","Student Headcount","1613.0","Count"
"2017","01620000","Lunenburg","Student Demographics","Students with disabilities % Headcount","17.4","Percent"
"2017","01620000","Lunenburg","Teacher Salaries","Teacher FTE","112.1","Count"
"2017","01620000","Lunenburg","Teacher Salaries","Teachers per 100 FTE students","6.9","Count"
"2017","01620000","Lunenburg","Other Staff","Instructional Coach FTE","0.0","Count"
"2017","01620000","Lunenburg","Other Staff","Instructional Support FTE","7.7","Count"
"2017","01620000","Lunenburg","Other Staff","Paraprofessional FTE","59.5","Count"
"2017","01620000","Lunenburg","Other Staff","Special Education Instructional Support FTE","1.0","Count"
"2017","01620000","Lunenburg","MCAS Performance","ELA Grade 10 % Meets or Exceeds","92.9","Percent"
"2017","01620000","Lunenburg","MCAS Performance","ELA Grades 3-8 % Meets or Exceeds","48.9","Percent"
"2017","01620000","Lunenburg","MCAS Performance","Math Grade 10 % Meets or Exceeds","90.3","Percent"
"2017","01620000","Lunenburg","MCAS Performance","Math Grades 3-8 % Meets or Exceeds","53.7","Percent"
